,TCGA-2L-AAQE-01A,TCGA-2L-AAQI-01A,TCGA-3A-A9IB-01A,TCGA-3E-AAAZ-01A,TCGA-F2-A7TX-01A,TCGA-FB-A5VM-01A,TCGA-FB-A78T-01A,TCGA-IB-7651-01A,TCGA-IB-7890-01A,TCGA-IB-A5SS-01A,TCGA-IB-AAUO-01A,TCGA-IB-AAUW-01A,TCGA-PZ-A5RE-01A,TCGA-US-A779-01A,TCGA-XD-AAUI-01A,TCGA-2J-AAB6-01A,TCGA-IB-AAUQ-01A,TCGA-LB-A7SX-01A
ENSG00000006756.16,2938,4915,2458,2003,2707,1656,4898,4952,1853,4052,2626,6949,3904,7176,3600,840,2058,7428
ENSG00000006757.12,604,477,443,497,627,684,610,986,409,722,551,1199,1172,1491,736,315,468,2081
ENSG00000006788.14,7,3,9,19,2,2,3,39,31,34,9,4,22,3,12,25,21,8
ENSG00000006831.10,3341,5301,4834,6224,6597,3219,4819,9353,3780,5033,3732,4983,6664,4160,4056,2876,2834,5174
ENSG00000006837.12,16,17,22,41,7,16,28,22,22,16,27,20,24,15,15,20,12,38
ENSG00000007001.13,5,4,7,2,6,1,10,7,2,1,8,16,5,9,2,10,2,23
ENSG00000007038.11,1047,1114,323,14,446,10,63,50,124,13,41,65,1011,35,225,7,680,4503
ENSG00000007047.15,2139,1968,2395,1954,2285,2151,2066,2696,1757,2098,1751,1849,2702,1905,1270,2592,1191,2812
ENSG00000007062.12,2661,9686,1902,4658,2906,667,2142,8825,797,7404,5333,9349,3983,5661,2829,156,1649,6925
ENSG00000007080.11,2825,2593,4850,3822,2062,6665,3383,3326,1437,4133,3123,2635,3671,4326,2790,2206,2644,2122
ENSG00000007129.18,63,41,62,34,71,83,86,254,60,222,41,87,144,27,82,38,71,31
ENSG00000007168.14,4267,4256,5337,8565,5257,4094,4335,10909,6549,6381,3537,8032,4386,3851,4791,3498,3419,3874
ENSG00000007171.18,10,17,64,35,15,9,36,48,19,90,17,23,694,28,30,17,20,138
ENSG00000007174.18,15,151,26,16,70,22,57,60,39,34,52,199,30,40,40,27,56,18
ENSG00000007202.15,7301,4042,5852,6340,5025,4442,5394,7887,4872,6725,3670,7577,3228,4537,4687,3874,3237,7555
ENSG00000007216.15,2,257,5,192,6,1,157,2,8,3,56,533,117,3099,295,0,101,64
ENSG00000007237.19,1879,1753,2947,5026,1889,1907,1889,6006,4024,2846,846,4285,2308,520,2862,2050,2095,1190
ENSG00000007255.10,1733,1298,952,1554,855,1332,1678,1669,641,957,924,944,2434,3089,851,553,838,2887
ENSG00000007264.15,143,74,174,223,171,365,242,181,143,221,122,234,328,132,157,27,93,68
ENSG00000007306.15,573,14647,82,246,2103,30,1731,1056,1310,29,413,13731,4273,600,2320,68,8769,10789
ENSG00000007312.13,297,55,79,73,303,490,37,205,27,34,34,560,49,84,623,30,63,131
ENSG00000007314.12,10,23,40,4,25,36,24,68,6,9,11,53,4,6,31,7,11,14
ENSG00000007341.19,527,331,411,513,341,309,514,703,317,272,517,487,430,412,346,309,261,618
ENSG00000007350.17,6,3,11,10,3,6,1,6,2,6,2,22,2,4,2,0,1,520
ENSG00000007372.24,38,395,82,37,333,267,298,334,576,224,705,798,212,291,383,339,320,86
ENSG00000007376.8,1879,934,1310,1809,1637,1405,1389,1291,571,1049,1263,937,1142,1755,685,749,1013,2719
ENSG00000007384.15,4078,2537,3768,4171,1887,1473,5293,3860,3282,2160,6112,2264,5102,4106,2239,3730,2163,5200
ENSG00000007392.17,2143,1797,3152,2933,1028,1474,6125,1576,1010,1008,3503,2710,2663,2464,2863,1073,2180,3343
ENSG00000007402.12,186,472,99,209,503,425,281,346,573,75,208,1224,216,432,494,558,703,364
