,TCGA-2L-AAQI-01A,TCGA-2L-AAQJ-01A,TCGA-F2-A7TX-01A,TCGA-FB-A7DR-01A,TCGA-FB-AAPY-01A,TCGA-FB-AAQ3-01A,TCGA-HZ-7926-01A,TCGA-IB-7644-01A,TCGA-IB-7654-01A,TCGA-IB-AAUO-01A,TCGA-FB-AAQ0-01A,TCGA-H6-A45N-01A,TCGA-HZ-8637-01A,TCGA-LB-A7SX-01A,TCGA-US-A77J-01A
ENSG00000135926.15,42198,39861,23859,29803,17891,17837,44695,44890,65994,12072,26273,13622,20824,16893,8439
ENSG00000135929.9,1510,3230,1302,2807,4350,1560,3988,1358,2189,826,482,2725,8680,2878,3463
ENSG00000135930.14,3183,3089,2637,3982,3134,3405,3730,3965,4437,4697,2680,1599,5271,2751,2718
ENSG00000135931.18,963,959,728,2841,826,746,1733,1859,1531,1061,545,712,1262,1035,797
ENSG00000135932.11,6194,6601,7797,6156,3085,3677,17767,10881,8968,3655,4055,3318,12257,4583,2716
ENSG00000135940.7,4007,4257,5017,4965,5771,7738,4019,5350,3631,6317,5156,2171,5257,5263,2754
ENSG00000135945.10,1444,1119,1441,1460,1173,534,2292,1645,1988,1398,1109,896,2392,1917,1043
ENSG00000135951.16,348,141,122,121,192,119,348,297,300,180,116,104,236,430,152
ENSG00000135953.11,1422,1748,845,974,766,335,1570,2174,1725,890,913,442,1337,975,386
ENSG00000135956.9,6694,8604,7655,8583,5615,2296,13079,12592,15380,6103,4139,4508,9827,7954,4748
ENSG00000135960.10,42,973,831,555,65,273,1192,1117,186,753,230,213,574,6061,72
ENSG00000135966.13,1747,1524,1946,1870,1244,519,2887,3246,3869,1212,844,1180,3376,1852,1117
ENSG00000135968.21,3269,2367,3165,2912,1761,1228,9308,6419,7617,1892,2973,1934,6191,2578,1232
ENSG00000135972.9,528,385,572,521,429,376,701,660,716,441,392,224,721,572,348
ENSG00000135973.3,3,1,3,1,4,1,1,0,3,11,2,6,12,0,1
ENSG00000135974.10,697,638,716,855,680,712,1457,1304,1220,962,979,506,1962,931,500
ENSG00000135976.20,160,101,99,197,182,26,140,126,107,273,171,94,434,150,58
ENSG00000135999.12,1064,1002,1142,1197,756,420,2915,1975,2271,757,718,810,2538,1533,782
ENSG00000136002.20,489,288,592,499,223,222,449,184,2552,1273,448,606,320,771,411
ENSG00000136003.16,2224,3502,4062,4303,3799,3288,3845,4240,5167,3182,2176,2613,8894,2707,4394
ENSG00000136010.14,523,271,1206,1056,364,119,993,959,3481,208,331,546,1827,401,369
ENSG00000136011.15,69,48,13,40,19,10,113,24,18,34,16,15,236,16,80
ENSG00000136014.12,85,10,123,114,42,41,135,68,133,60,16,46,48,25,49
ENSG00000136021.19,2196,2252,4085,2728,1133,1611,6359,6363,5309,1877,1997,1515,4929,1648,773
ENSG00000136026.14,4576,5055,7878,8054,4321,2822,8021,10145,10393,5210,4170,3682,9839,3762,4793
ENSG00000136040.9,810,611,1460,1516,1222,1040,1534,2264,4226,820,933,1237,6899,542,1054
ENSG00000136044.12,2043,2153,2355,1673,1674,1343,3949,5107,4923,4874,2280,1809,4827,1935,1621
ENSG00000136045.12,1442,2176,3234,2166,1530,1747,2883,3540,3589,2314,1897,968,3488,1493,1962
ENSG00000136048.14,1021,1030,3926,1865,1167,731,1562,1632,1892,1286,681,754,4304,981,1117
ENSG00000136051.15,2002,2051,4057,2096,1219,1417,6330,3256,4130,2478,1752,1516,7293,2124,1204
ENSG00000136052.9,2167,2835,1615,1609,1436,1563,5399,6912,6802,1893,1831,1033,1691,1316,876
ENSG00000136059.14,16873,7904,1259,5297,7220,6856,9390,21337,5273,7933,18408,4826,1455,2997,2274
ENSG00000136068.15,63020,25793,32794,16090,16911,13808,30285,54690,57955,9305,48120,26161,15310,13893,7110
ENSG00000136098.17,567,659,214,847,678,333,450,835,710,359,814,395,1320,951,492
ENSG00000136099.13,4,3,35,12,50,12,3,13,48,20,0,7,12,1,2
ENSG00000136100.14,2735,2430,2808,2197,1584,1610,4171,3958,3379,1704,2312,1658,5531,3704,1299
ENSG00000136104.21,1176,918,1211,1395,1252,1417,1355,1466,1509,1332,856,876,3527,1812,1478
ENSG00000136108.15,684,424,1875,1011,373,509,960,2525,896,574,561,459,2523,1335,404
ENSG00000136110.13,13,2,26,2,38,1,0,4,64,6,2,14,46,1,9
ENSG00000136111.14,2146,1382,1219,1199,1599,570,2395,2306,3152,956,813,1267,5612,348,1614
ENSG00000136114.17,168,222,221,396,253,155,216,123,322,238,42,143,395,258,204
ENSG00000136122.18,183,108,202,173,135,89,189,389,278,192,247,128,444,289,93
ENSG00000136141.15,1913,3278,1650,3136,1707,998,4844,3628,4274,2057,2817,1464,4777,1883,1327
ENSG00000136143.16,2145,1818,2102,1721,951,1186,2656,3064,2848,950,707,1040,3138,2413,910
ENSG00000136144.12,1489,1087,1142,1232,878,772,1675,2273,2216,527,552,1348,3625,1672,744
ENSG00000136146.15,1302,1595,1138,1445,1032,1793,1817,1728,1585,1586,924,599,2214,1888,945
ENSG00000136147.18,1202,1098,1389,2192,1904,2082,1545,2044,2251,2496,2074,1006,3699,2172,1648
ENSG00000136149.6,165,182,227,182,401,383,215,467,287,468,453,124,347,224,371
ENSG00000136152.15,2179,1577,1477,1579,1381,1052,3317,2870,2750,1609,1919,1111,2967,1771,890
ENSG00000136153.20,11900,18182,7211,7642,5600,6181,30364,24939,22857,8989,25061,7638,4877,6981,2559
ENSG00000136155.17,2437,2374,1071,426,344,735,887,285,521,445,463,1051,33,2220,180
ENSG00000136156.15,45712,33256,33437,29459,30179,47146,48733,54560,53063,41309,21991,21127,70059,32289,20816
ENSG00000136158.12,1992,1921,1590,1074,1001,895,3354,2996,3066,1162,2090,1577,2027,1506,1402
ENSG00000136159.4,1093,876,1457,734,666,849,1430,1393,1044,1057,629,501,1166,1407,468
ENSG00000136160.17,484,774,749,713,465,298,1711,692,1451,149,139,636,3419,426,974
ENSG00000136161.13,1226,647,534,804,887,742,1343,1209,1499,627,453,767,1724,1394,686
ENSG00000136167.15,3075,4958,6970,3001,7484,1320,8739,6612,4102,4494,511,3903,36950,1743,15582
ENSG00000136169.16,550,557,612,691,824,525,825,611,931,482,361,554,2563,988,677
ENSG00000136193.17,3699,3435,7454,7020,2521,586,9614,2807,9461,3864,1468,2923,10664,6203,2738
ENSG00000136197.13,11,12,16,17,11,29,23,19,23,23,10,10,14,17,10
ENSG00000136205.17,5605,6164,10474,7872,5150,1928,10138,13009,14978,5915,2424,5974,24027,6922,5535
ENSG00000136206.4,11,7,8,5,8,1,13,12,13,9,16,17,21,15,6
ENSG00000136213.10,895,1158,1040,1239,1020,479,1148,1008,1103,986,344,732,1608,2008,1433
ENSG00000136231.14,214,466,914,337,157,39,1044,873,277,308,604,208,687,12,20
ENSG00000136235.17,5506,6203,10012,12256,9544,5950,6743,14022,18634,3155,1958,9515,48359,2845,8296
ENSG00000136237.19,2932,1926,2488,2236,2049,936,4029,3427,2934,1437,1413,1444,3291,1084,977
ENSG00000136238.18,18100,22445,18498,17785,16537,16756,26459,40749,27647,18472,24084,9903,24938,19976,9561
ENSG00000136240.10,14971,15816,10735,14873,10578,15553,23801,31367,23810,12745,13548,6671,17326,17027,7661
ENSG00000136243.17,452,273,526,554,353,240,753,726,448,371,322,270,1065,591,242
ENSG00000136244.12,29,135,89,91,19,21,141,6,20,798,151,55,91,162,902
ENSG00000136247.15,1459,991,1180,1194,1074,600,1844,2154,1900,815,726,642,2306,1582,1072
ENSG00000136250.12,297,189,1008,259,595,163,1197,548,485,241,29,415,4692,200,693
ENSG00000136261.15,1962,2823,3493,1964,2147,1982,3075,3714,3610,2518,3069,974,3403,3882,1425
ENSG00000136267.14,48,14,24,32,12,4,24,18,57,6,11,89,550,22,61
ENSG00000136270.14,2438,2995,3508,3078,2980,1979,3880,4340,3334,4075,3166,1547,4377,4223,2177
ENSG00000136271.10,3054,3018,4200,3181,3879,2274,4320,3761,3984,4204,3507,1942,4533,4435,2860
ENSG00000136273.13,606,705,697,691,599,494,1133,860,872,523,466,470,1115,689,392
ENSG00000136274.9,297,118,199,465,196,74,186,330,369,186,177,126,263,339,256
ENSG00000136275.10,0,1,4,1,4,3,2,2,1,1,0,1,7,0,0
ENSG00000136279.21,7834,9026,7270,8307,7388,3813,9958,10676,8517,7347,7588,5895,11214,6426,9565
ENSG00000136280.17,2343,2484,3164,3149,2716,1066,3295,2176,3285,3167,1499,1724,4541,3525,3954
ENSG00000136286.16,237,430,753,733,692,113,796,536,319,844,104,488,2434,352,1911
ENSG00000136295.15,7695,10389,6265,11545,5999,2225,15427,13182,7001,10866,6802,6430,12847,14641,4477
ENSG00000136297.15,0,0,1,4,3,0,1,2,1,1,0,1,4,0,0
ENSG00000136305.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000136315.4,0,0,1,1,3,0,5,3,1,2,0,2,5,0,1
ENSG00000136319.12,615,476,773,411,515,462,1044,1371,857,510,217,346,2026,584,399
ENSG00000136327.7,61,1,1,1,1,0,0,0,1,198,0,1,0,33,0
ENSG00000136352.19,1,0,0,0,0,0,1,12,0,48,2,0,1,653,0
ENSG00000136367.14,164,111,80,140,181,83,235,249,395,225,111,160,395,144,144
ENSG00000136371.11,143,72,63,47,39,31,121,50,55,61,26,25,73,57,25
ENSG00000136378.15,495,747,428,1755,485,130,645,1399,1285,825,350,758,846,211,510
ENSG00000136379.12,6353,9000,6169,1858,2441,3948,6880,9551,7841,2886,6330,1767,4022,4022,496
ENSG00000136381.13,2348,1900,3442,1949,1219,773,4509,3609,7395,1858,1601,1317,5128,2188,1363
ENSG00000136383.7,4388,617,1196,1154,1151,246,2226,565,5017,1030,337,1828,1768,620,1201
ENSG00000136404.16,61,68,89,85,101,34,97,120,126,46,3,90,500,25,80
ENSG00000136425.14,481,188,342,186,200,222,436,103,302,243,55,196,385,295,219
ENSG00000136436.15,5833,3089,4909,6046,5183,4607,9070,9895,7793,4285,5628,2849,11038,3514,4044
ENSG00000136444.10,1402,843,1563,1388,1715,1466,1676,1600,1552,1331,952,1039,2265,1418,1589
ENSG00000136448.13,4753,8637,6409,5251,3982,1775,6910,6068,8392,5570,3543,2804,10022,6960,3676
ENSG00000136449.15,13,7,21,56,35,30,27,8,20,42,22,18,117,73,23
ENSG00000136450.13,2696,1911,2742,1984,1278,1308,4004,3375,3213,2770,2301,1176,4480,2312,1399
ENSG00000136451.9,2982,1757,3053,3682,1983,1174,8235,3326,5425,2653,1252,1481,3957,2374,2165
ENSG00000136457.10,64,11,39,13,63,10,32,15,44,50,24,38,40,64,15
ENSG00000136463.8,864,1161,1073,997,838,670,1056,746,1162,964,355,344,997,906,732
ENSG00000136478.8,2340,2371,1865,2578,1719,591,4705,2576,4102,988,628,1318,3603,2820,1475
ENSG00000136485.15,5325,7034,6180,6142,3698,1115,11041,7815,11090,3995,2296,2873,9808,6197,3232
