,TCGA-2L-AAQI-01A,TCGA-2L-AAQJ-01A,TCGA-F2-A7TX-01A,TCGA-FB-A7DR-01A,TCGA-FB-AAPY-01A,TCGA-FB-AAQ3-01A,TCGA-HZ-7926-01A,TCGA-IB-7644-01A,TCGA-IB-7654-01A,TCGA-IB-AAUO-01A,TCGA-FB-AAQ0-01A,TCGA-H6-A45N-01A,TCGA-HZ-8637-01A,TCGA-LB-A7SX-01A,TCGA-US-A77J-01A
ENSG00000256540.1,10,7,6,14,5,12,15,19,50,17,15,23,32,10,7
ENSG00000256542.2,0,0,10,43,0,2,2,1,8,62,2,0,0,0,2
ENSG00000256546.2,100,23,70,67,39,40,67,24,134,16,27,48,90,41,53
ENSG00000256551.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000256552.2,5,3,2,3,3,0,6,4,2,8,21,1,6,7,1
ENSG00000256553.1,9,10,4,2,16,0,10,9,0,0,3,10,24,6,9
ENSG00000256557.1,1,1,0,1,0,0,0,0,0,0,2,3,0,0,1
ENSG00000256560.1,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0
ENSG00000256563.2,1,0,0,1,0,0,1,0,0,3,0,1,0,0,0
ENSG00000256564.1,4,3,2,0,3,2,4,6,3,3,0,0,6,0,0
ENSG00000256566.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256568.2,2,0,0,1,5,2,2,1,3,0,0,4,7,1,4
ENSG00000256569.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256571.1,0,0,1,1,3,4,0,0,0,0,0,0,0,0,2
ENSG00000256574.8,7,4,15,12,16,6,8,2,3,18,1,24,88,17,37
ENSG00000256576.2,48,75,45,62,64,19,85,45,35,85,31,28,148,36,132
ENSG00000256577.2,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0
ENSG00000256581.1,0,0,0,1,0,1,0,1,1,4,0,2,2,0,0
ENSG00000256582.1,0,0,3,0,1,0,3,0,0,3,0,1,11,1,6
ENSG00000256588.1,1,3,0,0,1,0,4,4,3,2,7,4,4,2,0
ENSG00000256589.2,1,0,0,0,2,0,1,0,3,2,2,1,0,0,0
ENSG00000256590.2,0,1,0,4,0,0,0,0,0,0,0,0,3,0,2
ENSG00000256591.5,16,14,8,22,18,15,18,11,11,33,53,18,34,66,16
ENSG00000256594.8,61,31,90,48,66,44,66,55,72,20,17,28,156,32,106
ENSG00000256596.1,4,4,2,3,2,0,6,11,13,12,16,5,3,2,4
ENSG00000256597.3,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0
ENSG00000256603.1,1,1,0,1,0,0,1,1,0,2,0,0,3,1,0
ENSG00000256609.1,3,0,0,1,0,0,1,0,0,0,0,0,1,2,2
ENSG00000256612.7,201,148,102,45,475,173,180,1074,656,158,133,49,207,2281,95
ENSG00000256614.1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
ENSG00000256615.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256616.3,8,17,10,39,22,20,21,17,133,22,7,32,31,8,18
ENSG00000256618.2,3,3,96,5,298,2,3,1,2,221,209,3,624,11,175
ENSG00000256625.1,3,0,5,6,1,2,2,2,11,8,2,1,14,4,0
ENSG00000256626.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256627.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256628.3,133,110,99,133,104,85,218,166,187,108,48,59,149,207,97
ENSG00000256630.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256632.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256633.1,10,3,7,6,5,3,8,6,3,4,6,3,12,5,13
ENSG00000256637.7,1,0,0,0,0,0,9,0,0,1,0,0,1,0,0
ENSG00000256640.1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
ENSG00000256642.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256643.1,1,2,0,0,2,0,191,0,6,2,0,0,0,0,11
ENSG00000256646.8,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
ENSG00000256650.1,5,1,0,3,5,0,4,0,2,11,0,4,2,2,1
ENSG00000256651.1,1,0,0,3,4,0,3,0,2,2,2,1,11,1,0
ENSG00000256654.4,2,1,0,6,1,0,0,0,1,1,1,1,1,2,3
ENSG00000256657.1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
ENSG00000256658.1,0,1,0,0,0,0,1,0,1,2,1,0,0,0,0
ENSG00000256659.2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
ENSG00000256660.6,0,0,3,8,6,1,0,1,4,3,2,1,29,1,4
ENSG00000256661.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256663.1,26,13,33,27,1,0,49,46,11,25,7,8,29,19,15
ENSG00000256664.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256667.6,71,41,49,56,111,70,83,31,55,200,283,67,388,156,59
ENSG00000256670.1,0,0,0,0,0,1,3,1,0,0,1,0,0,0,1
ENSG00000256671.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256672.1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2
ENSG00000256673.1,8,1,11,13,24,14,15,6,6,25,9,7,39,13,32
ENSG00000256674.1,0,0,0,1,0,2,0,0,0,1,0,1,2,1,0
ENSG00000256678.1,0,0,0,0,5,2,0,2,3,1,0,0,0,1,2
ENSG00000256681.1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1
ENSG00000256682.2,1,2,2,2,2,0,2,1,1,2,0,3,4,2,0
ENSG00000256683.7,334,401,520,399,457,393,509,752,754,390,381,290,909,371,317
ENSG00000256684.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256686.1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
ENSG00000256690.1,4,4,2,3,2,0,5,1,2,10,9,5,8,4,7
ENSG00000256691.1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000256694.1,4,9,2,13,6,4,15,11,23,10,15,8,18,17,10
ENSG00000256695.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256699.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256704.3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
ENSG00000256705.3,2,5,3,3,4,0,5,7,2,7,6,8,5,3,7
ENSG00000256706.1,3,2,1,1,3,0,5,1,0,2,0,0,5,1,2
ENSG00000256708.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256709.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256712.1,1,2,0,0,0,0,2,0,0,0,0,0,1,1,0
ENSG00000256713.8,3,3,0,1,0,1,2,18,2,8,0,1,0,1,1
ENSG00000256714.1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2
ENSG00000256717.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000256720.1,1,3,3,3,6,0,3,3,2,0,0,9,12,1,15
ENSG00000256721.1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ENSG00000256723.1,1,0,0,0,1,0,1,0,0,0,0,0,5,3,1
ENSG00000256732.1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0
ENSG00000256733.2,0,1,1,1,0,0,0,0,3,2,0,0,2,1,0
ENSG00000256734.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000256737.1,0,1,0,0,0,0,2,0,1,0,0,0,1,4,0
ENSG00000256739.1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
ENSG00000256742.1,7,3,2,7,3,4,5,3,2,5,0,4,17,10,7
ENSG00000256745.1,8,26,17,15,13,29,16,14,12,15,9,4,42,25,19
ENSG00000256746.5,0,1,0,0,3,0,2,0,1,1,0,3,14,0,0
ENSG00000256747.1,0,1,1,0,1,0,0,0,2,1,0,0,1,0,0
ENSG00000256748.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000256750.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000256751.6,455,104,227,169,200,156,309,324,776,106,99,114,380,168,99
ENSG00000256752.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256756.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ENSG00000256757.1,1,0,1,1,0,0,2,0,0,2,1,0,1,13,0
ENSG00000256762.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000256769.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000256771.4,319,131,330,243,196,232,667,778,831,265,166,199,702,173,235
ENSG00000256774.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256777.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000256779.2,0,0,4,2,0,1,4,0,1,1,0,2,2,1,1
ENSG00000256783.1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1
ENSG00000256789.1,0,0,1,0,5,1,2,0,1,2,1,0,1,0,0
ENSG00000256797.1,0,0,0,1,2,1,6,1,2,35,2,0,2,0,3
ENSG00000256799.1,0,0,0,1,1,0,0,0,2,0,0,1,1,0,0
ENSG00000256802.2,470,144,319,165,382,138,187,138,227,175,30,236,756,50,214
ENSG00000256803.1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ENSG00000256804.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256806.6,182,138,69,95,173,104,210,61,179,174,104,172,208,147,177
ENSG00000256810.2,0,0,0,4,1,0,0,0,0,0,0,0,0,2,0
ENSG00000256811.1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
ENSG00000256812.2,11,0,18,3,6,3,3,1,4,3,3,1,7,27,4
ENSG00000256813.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ENSG00000256814.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256817.1,2,4,0,1,5,0,1,0,0,2,2,0,2,1,4
ENSG00000256824.1,2,1,0,1,5,2,0,0,0,0,0,1,2,1,1
ENSG00000256825.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256826.1,0,1,2,3,4,1,4,1,1,5,0,4,5,2,0
ENSG00000256827.1,2,0,1,0,0,0,6,0,0,0,1,1,2,1,0
ENSG00000256835.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256837.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256843.1,0,0,0,2,0,0,8,0,0,1,1,0,1,1,0
ENSG00000256844.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256847.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256849.1,3,0,1,1,0,1,4,1,3,1,0,1,2,4,2
ENSG00000256851.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256852.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256861.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256862.3,11,7,9,6,9,3,12,4,28,7,5,2,55,5,25
ENSG00000256863.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256870.3,1,0,22,3,3,2,68,2,8,10,4,1,4,1594,22
ENSG00000256875.2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12
ENSG00000256879.1,2,1,0,0,1,0,1,1,0,3,0,0,0,0,0
ENSG00000256884.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256888.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256892.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256894.1,177,26,46,29,41,1,129,122,80,125,53,26,88,56,23
ENSG00000256896.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256897.1,10,7,8,0,7,2,6,1,7,24,7,4,9,4,1
ENSG00000256898.1,1,1,2,0,4,0,3,1,0,3,2,1,9,5,0
ENSG00000256902.1,0,1,1,1,1,0,0,0,1,3,1,0,3,1,0
ENSG00000256904.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000256906.1,1,1,1,2,2,1,0,9,0,0,0,1,1,22,2
ENSG00000256912.1,0,0,1,1,0,0,1,0,0,0,0,0,3,1,0
ENSG00000256913.1,1,2,2,4,0,0,4,4,4,8,5,3,9,1,0
ENSG00000256915.2,1,0,0,0,0,0,2,2,1,0,4,0,0,0,0
ENSG00000256916.1,1,3,1,1,4,5,4,3,1,105,0,3,2,90,5
ENSG00000256917.1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,2
ENSG00000256923.1,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0
ENSG00000256925.3,3,0,0,0,1,0,3,0,1,0,4,1,1,0,3
ENSG00000256928.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256937.1,0,0,1,1,0,1,0,1,1,3,0,6,9,1,1
ENSG00000256940.2,18,11,11,6,15,12,9,16,3,24,22,9,11,57,6
ENSG00000256943.1,2,0,3,13,0,1,0,4,5,35,3,0,0,0,0
ENSG00000256944.1,13,13,11,32,10,0,12,14,27,7,3,4,17,8,6
ENSG00000256947.1,0,1,0,1,0,0,0,0,1,0,0,4,0,0,6
ENSG00000256948.1,4,7,9,5,28,5,3,6,15,7,2,8,113,7,25
ENSG00000256950.2,4,4,0,2,1,7,3,1,0,12,3,1,1,4,1
ENSG00000256951.1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000256955.2,0,1,0,1,0,1,0,0,0,2,3,1,2,0,0
ENSG00000256963.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000256966.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256967.1,45,29,61,55,97,20,68,20,26,281,137,58,127,56,28
ENSG00000256968.1,15,25,21,7,8,15,24,23,27,24,18,10,50,21,11
ENSG00000256969.2,152,2,329,10,29,30,47,16,839,678,5,47,0,1,8
ENSG00000256971.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000256972.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256973.1,15,7,6,6,11,1,20,7,14,18,13,13,52,8,2
ENSG00000256975.1,1,0,1,1,0,0,1,3,0,1,0,1,5,1,0
ENSG00000256977.12,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000256980.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ENSG00000256981.1,4,0,0,0,3,0,1,2,0,5,6,0,3,3,2
ENSG00000256982.2,8,6,2,7,20,8,4,0,3,9,22,0,3,17,1
ENSG00000256984.2,1,4,1,10,6,1,2,0,0,2,0,0,6,0,1
ENSG00000256986.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256987.1,0,0,2,0,0,0,0,1,1,1,0,0,6,0,0
ENSG00000256988.2,6,6,4,6,4,0,12,1,14,2,2,10,28,12,17
ENSG00000256994.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000256995.8,0,0,0,1,15,0,8,0,0,0,0,0,3,1,0
ENSG00000257000.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257002.1,1,2,0,3,2,4,3,1,1,0,0,0,0,4,0
ENSG00000257004.1,1,0,0,1,0,0,0,0,0,4,3,0,8,0,0
ENSG00000257005.1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000257008.6,48,17,17,10,12,0,11,13,79,5,0,64,121,4,27
ENSG00000257009.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257012.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000257016.1,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0
ENSG00000257017.9,120,104,176,129,95,201,161,14,32,752,3,12,48,10055,85
ENSG00000257021.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000257022.1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,1
ENSG00000257023.1,4,4,1,0,0,4,6,2,0,4,3,1,1,0,1
ENSG00000257025.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257027.1,94,45,192,98,116,107,167,97,159,84,56,61,356,111,166
ENSG00000257035.1,0,0,0,0,28,4,0,88,1,0,7,9,9,9,0
ENSG00000257037.1,2,0,1,0,0,2,1,0,0,3,1,1,3,0,0
ENSG00000257038.1,31,28,19,49,23,18,16,20,27,38,17,15,17,27,33
ENSG00000257042.1,1,0,1,2,0,1,1,0,1,0,0,0,0,3,2
ENSG00000257043.1,4,1,4,5,4,1,6,5,8,1,0,2,9,0,7
ENSG00000257045.1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257046.5,2,0,3,3,0,0,0,2,0,49,0,0,0,13,0
ENSG00000257048.1,0,0,5,0,2,1,2,0,2,1,0,0,0,31,0
ENSG00000257052.1,3,4,4,10,7,1,10,5,10,1,5,8,20,7,9
ENSG00000257056.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257057.3,3,1,1,7,3,0,5,1,1,2,0,1,6,1,0
ENSG00000257058.1,8,4,16,14,10,16,13,13,4,12,8,5,6,14,10
ENSG00000257060.7,1,11,6,8,9,5,8,5,6,7,1,0,11,1,36
ENSG00000257062.6,0,0,0,0,0,0,0,0,0,20,0,0,0,5,0
ENSG00000257065.1,0,1,1,0,0,0,2,2,1,0,3,0,1,0,1
ENSG00000257067.6,1,0,0,0,0,0,0,1,0,1,0,2,3,0,0
ENSG00000257069.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257070.1,0,0,1,1,0,0,2,0,1,4,5,1,0,1,1
ENSG00000257074.3,2,6,3,2,1,2,4,10,4,2,2,0,8,3,3
ENSG00000257075.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257078.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257083.7,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ENSG00000257084.1,124,60,103,188,407,367,124,178,80,399,379,46,95,182,133
ENSG00000257086.1,29,18,10,17,19,16,13,12,24,46,48,3,13,57,9
ENSG00000257087.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257093.7,1739,2865,1540,1560,1789,714,3552,3618,4195,2283,1833,1292,5701,4752,1771
ENSG00000257094.1,0,0,0,1,0,0,1,1,1,0,0,0,2,0,1
ENSG00000257095.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000257096.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257097.1,2,0,2,1,1,0,2,0,0,1,1,0,1,1,1
ENSG00000257101.1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0
ENSG00000257103.8,5616,5817,7952,4758,4642,2853,9367,8940,8940,4906,4055,3273,10143,6398,3894
ENSG00000257105.1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
ENSG00000257108.2,39,35,18,47,51,24,36,53,47,15,23,40,103,24,77
ENSG00000257109.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257113.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257114.3,4,3,10,1,3,20,14,8,3,24,2,2,28,9,3
ENSG00000257115.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000257119.1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0
ENSG00000257120.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257121.1,0,3,0,3,0,1,2,2,2,4,6,0,3,1,0
ENSG00000257122.5,152,153,138,162,211,82,194,82,212,176,148,98,301,242,171
ENSG00000257124.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257125.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257126.6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257127.6,0,3,0,3,0,0,1,1,4,0,2,4,10,1,7
ENSG00000257128.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000257129.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257135.7,83,34,27,53,60,37,78,80,69,72,82,49,159,80,77
ENSG00000257137.7,1,1,0,1,0,1,5,0,0,3,1,1,0,1,0
ENSG00000257138.1,6,0,0,0,2,4,28,34,8,1,2,6,65,32,0
ENSG00000257139.1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
ENSG00000257142.1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ENSG00000257146.1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000257150.3,3,10,10,10,10,0,20,2,5,5,1,7,9,13,1
ENSG00000257155.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000257157.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257159.1,4,1,3,0,0,0,2,1,2,1,1,0,7,0,0
ENSG00000257162.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257164.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257167.2,60,55,200,59,65,88,63,200,59,126,110,44,241,85,114
ENSG00000257169.1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
ENSG00000257171.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257173.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257175.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257176.3,18,48,22,31,41,13,136,36,31,67,17,27,118,34,66
ENSG00000257178.5,6,3,3,15,14,2,0,3,12,15,26,5,8,20,1
ENSG00000257179.1,0,3,1,1,1,0,2,2,3,1,2,2,3,3,3
ENSG00000257180.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000257181.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257183.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257184.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257185.2,0,0,4,0,1,0,0,0,0,0,0,0,9,0,1
ENSG00000257191.1,0,0,1,0,0,1,7,0,0,0,0,2,5,3,0
ENSG00000257193.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257194.2,0,1,1,1,3,2,1,1,10,1,0,0,3,27,3
ENSG00000257195.1,2,0,1,4,2,0,3,4,1,4,3,2,4,3,1
ENSG00000257198.6,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
ENSG00000257199.2,1,1,3,4,1,2,2,0,0,1,0,0,4,5,4
ENSG00000257202.1,1,1,1,0,0,0,1,2,3,0,2,2,3,2,1
ENSG00000257207.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000257210.1,0,4,2,7,1,2,4,0,3,1,0,1,7,6,4
ENSG00000257218.6,469,774,1016,587,605,536,1330,1338,1130,885,674,354,1166,566,429
ENSG00000257219.6,26,16,20,46,24,32,10,7,58,15,15,11,15,4,61
ENSG00000257220.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257221.4,7,17,6,3,18,4,19,4,5,8,4,6,65,19,33
ENSG00000257222.1,2,6,2,3,2,6,5,4,8,13,5,6,19,20,5
ENSG00000257224.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257225.1,1,0,0,1,4,2,3,1,1,12,0,0,2,3,3
ENSG00000257226.2,0,5,3,3,4,0,9,0,5,2,2,1,18,2,11
ENSG00000257228.5,0,0,0,0,0,2,0,0,0,0,0,6,8,0,2
ENSG00000257230.1,5,39,0,0,16,23,1,6,3,0,7,0,0,0,0
ENSG00000257231.1,1,0,1,2,3,2,2,0,0,5,4,0,4,4,5
ENSG00000257235.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257237.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257239.1,1,0,0,3,0,0,0,1,3,0,0,2,2,1,1
ENSG00000257241.1,0,2,0,0,1,0,9,1,0,1,0,2,0,3,0
ENSG00000257242.8,27,25,36,12,77,25,69,35,63,28,37,37,176,8,121
ENSG00000257243.1,2,2,2,1,4,0,1,3,1,1,5,1,9,10,0
ENSG00000257246.1,4,3,3,3,3,0,1,1,1,8,7,1,9,2,0
ENSG00000257252.6,9,32,13,10,10,11,13,5,15,2,19,8,26,35,3
ENSG00000257253.2,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0
ENSG00000257254.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257256.1,3,4,1,0,13,0,4,2,0,5,6,1,2,0,1
ENSG00000257258.2,2,2,2,3,2,0,1,3,1,2,1,3,10,1,2
ENSG00000257259.3,20,2,11,2,11,1,1,2,14,3,0,19,45,0,11
ENSG00000257261.6,54,53,67,47,57,114,100,105,62,52,64,33,93,76,44
ENSG00000257262.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257264.5,1,1,1,1,0,0,0,0,1,2,1,0,0,0,0
ENSG00000257265.1,1,0,0,0,2,0,3,0,0,0,0,2,8,0,0
ENSG00000257267.3,824,791,720,1197,727,850,2268,1313,1555,1164,356,523,1584,676,900
ENSG00000257268.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257270.1,38,36,22,39,84,35,30,14,10,123,130,73,103,74,47
ENSG00000257271.1,0,0,1,0,0,1,0,0,0,2,0,1,6,12,0
ENSG00000257272.1,0,1,0,2,1,1,0,3,1,1,1,2,0,2,1
ENSG00000257275.6,0,45,61,0,26,0,75,1,0,2,0,1,83,0,329
ENSG00000257277.2,0,0,1,0,0,1,2,0,2,3,0,0,2,1,1
ENSG00000257279.1,16,11,10,6,25,4,31,18,13,30,39,16,77,16,2
ENSG00000257281.1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,2
ENSG00000257283.1,1,1,4,5,3,0,7,5,4,1,2,5,14,3,1
ENSG00000257284.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000257285.6,34,25,29,30,53,30,20,24,22,86,56,25,163,34,44
ENSG00000257286.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257287.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257288.1,0,3,0,0,1,0,1,1,0,0,0,0,1,2,0
ENSG00000257289.1,1,0,0,0,0,0,2,0,0,1,0,3,0,0,0
ENSG00000257292.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257294.2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
ENSG00000257296.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257298.1,56,45,33,18,57,9,37,32,10,58,114,28,18,20,4
ENSG00000257300.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257302.1,16,289,17,5,19,15,13,30,63,84,52,17,3,11,3
ENSG00000257303.2,19,15,11,16,17,11,20,13,13,40,35,20,34,29,23
ENSG00000257307.1,2,2,5,2,1,0,11,7,4,0,0,1,5,3,0
ENSG00000257308.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257310.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
