,MAGEA1,MAGEA2,MAGEA2B,MAGEA3,MAGEA4,MAGEA5,MAGEA6,MAGEA7P,MAGEA8,MAGEA9,MAGEA9B,MAGEA10,MAGEA11,MAGEA12,MAGEB1,MAGEB2,MAGEB3,MAGEB4,MAGEB5,MAGEB6,MAGEB10,MAGEB16,MAGEB17,MAGEB18,MAGEC1,MAGEC2,MAGEC3,MAGED1,MAGED2,TRO,MAGED4,MAGED4B,MAGEE1,MAGEE2,MAGEF1,MAGEH1,MAGEL2,CSAG1,CSAG2,CSAG3,CSAG4,TRIM28,NDN
MAGEB10,-0.02362574464874263,-0.011197570410714397,0.14745753601139486,-0.04085025170419499,-0.0182459911779538,-0.028505571165454713,-0.02122703701299616,-0.05118802410741139,0.0035002429118330737,-0.02675084488056308,-0.017735199761937222,-0.028715665325364757,-0.035736072491700355,-0.06194942353817068,0.0793622940357275,-0.013311851394274812,-0.06309263342990462,-0.04544949342545459,-0.023412522883613614,-0.05237978164018961,1.0,-0.050325353473329636,-0.06716602072027718,0.022506888396843554,-0.02273632233337904,-0.02421578237374279,-0.01491190733902372,-0.09430591557902512,-0.005331472543324034,-0.03162967910409947,-0.07973713859895215,-0.07865406796805313,-0.030823348424254316,-0.007560991141065716,0.006539069043008803,0.048183574714162736,-0.04473131888568871,-0.07980432152041216,-0.020002381865113123,-0.037596281470801275,-0.029530496788046697,0.0736038485939171,-0.09206324052284762
MAGEB16,-0.025517697730167085,-0.06374298801396362,-0.011534070079002291,0.054124509872821074,-0.017168781135766763,-0.029795996450935648,0.02313517562609446,0.062465744298033046,0.010550561761550755,-0.027961835056535798,-0.01853805861654579,-0.0321114805828951,0.10743758253670875,-0.013447270597676045,0.1369998768245653,0.22085116703386812,0.04244414705277488,-0.04750695704153473,-0.024472389790000278,0.16446949251427143,-0.050325353473329636,1.0,0.03533486829476379,0.3380646221977069,0.010193476416186465,0.023753525853925123,-0.00886534781485087,0.07095936577544017,0.03670772236930406,0.0865905166050715,0.0720245893223761,0.13250429794951038,0.1005048214553344,0.13563558856437513,0.08275350353379797,0.1991254900323456,0.06418758787092775,-0.06493884718086183,-0.0017964282483871603,-0.016091420408747812,-0.006695151474082336,0.02687793318412239,0.059591839996447245
MAGEB17,0.03513239413547991,-0.020679352732529577,0.41775524120692653,-0.07945612591369669,0.0214727456466434,-0.04926674378884278,0.0951209252670253,0.09985071670776487,-0.030377953607951393,0.32592383944721676,0.5181967075756243,0.2686541676060828,0.008944689434775253,-0.09623742926202579,-0.12890872821364566,-0.10865147142570317,-0.04671098735480421,0.12191567015505893,-0.019100209810861316,0.07824492382973197,-0.06716602072027718,0.03533486829476379,1.0,-0.008674181107065965,-0.0436962412408632,0.00854446887045875,0.22881851581355928,0.3946124275990901,0.24054086641572422,0.3800962467601329,0.2958684784425606,0.30073505599026884,-0.009643538464527767,0.09123069223921275,0.22926472526846978,0.022096892558511334,0.1809868572731239,-0.10398125861477817,0.41440720118727553,0.27139685942126673,-0.06691422202133455,0.4524512558328168,0.026295802314850503
MAGEB18,-0.01987150262542417,0.2552682541032509,-0.013027068200472385,-0.015222225559682135,-0.011454368185345922,-0.022136760318086066,0.021522950566628313,-0.039751423125153944,-0.036332468332187735,-0.020774080897735917,-0.013772741617581219,-0.03274332062244906,0.04301834841346772,-0.023155743487923913,0.29621022698481286,0.034029444369178825,-0.026851689377049282,-0.035295014321866776,-0.01818161806013376,0.2471041773002993,0.022506888396843554,0.3380646221977069,-0.008674181107065965,1.0,-0.007642280347597022,0.03177679464480955,-0.043131453126797586,0.09667225716277843,0.011895474433468622,0.01035088933959098,0.12746386357155184,0.16879519871014867,0.02926604999798912,-0.030834289222519604,0.0417994832235024,0.11897077111344789,0.00929946335550069,-0.051031878088502076,0.0020241436735981212,-0.026547878174758188,-0.08767497870037523,0.07716724358396411,0.04069000699566513
MAGEC1,0.1986715180557398,0.012711367087886524,-0.0006620038295931338,0.12582830538372564,0.1793275599916522,-0.015172651573907814,0.3694813644004464,-0.026892684999862214,0.01617930547852794,0.03370723470852471,0.00875836816771921,0.028057906166281375,0.27286892166194404,-0.020545303130231275,-0.01253392854656832,-0.0008262420301503582,0.07078844060526406,-0.02442417151775984,-0.010512084995209961,0.12112510618395889,-0.02273632233337904,0.010193476416186465,-0.0436962412408632,-0.007642280347597022,1.0,0.34859831534859903,0.1077611838655929,-0.07624279329937497,-0.07167688355013518,-0.02731374117998535,-0.05811920001797235,-0.07372697957171431,0.061942810360118394,-0.04922752748581388,-0.06340259207438574,0.003976238349825582,0.036977549017875304,-0.043990558946871094,0.002291311372247204,0.011077691650311269,-0.051053684606226536,-0.03736243809466545,0.011639482926776551
MAGEC2,0.9590179815814616,0.18745316160631278,-0.010322721232358594,0.07434532579360527,0.968047615125043,-0.015975302774086316,0.13338451444231034,-0.028229252033742727,0.009980182774305794,0.06996044964964192,0.007448935900100719,0.16963362847230215,0.841618151010101,0.09696878202558523,0.00947524768337085,-0.0104476910592304,-0.01223492871054428,-0.022158730742676293,-0.009190265779169787,0.04627447359020683,-0.02421578237374279,0.023753525853925123,0.00854446887045875,0.03177679464480955,0.34859831534859903,1.0,0.027560532968959207,0.07969312864883339,0.04378495545377961,-0.020684293096491908,0.019207130951379776,0.015998669352798398,0.07552939585422391,0.021026932414079026,-0.002794655974399355,0.029376340503191496,0.04231610696746282,0.08724152867582312,0.009049159282896261,0.052926281570996936,-0.05483395039582096,0.04855710376825319,0.0688059564640042
MAGEC3,0.018701394590249866,-0.02712810386935682,0.4322724373656179,-0.003852544511050892,0.014051042849772804,0.0372833657692339,0.20911229402511958,1.7343075282791235e-05,0.05475193598520083,0.34371348528752005,0.4808075678256771,0.3634343708800892,0.01960901839179122,-0.14334258945440106,-0.0764387928423634,0.032334653167980905,0.02392159743924289,0.03877858310094673,0.031115416069588012,0.0076247806618904915,-0.01491190733902372,-0.00886534781485087,0.22881851581355928,-0.043131453126797586,0.1077611838655929,0.027560532968959207,1.0,0.025104833008993632,0.1609703786367196,0.3721300929653886,0.04343009744856309,0.06381363474467498,0.289978351208106,-0.08907323880307526,-0.09147139243729376,0.07072868465390907,0.25582402505499585,-0.17037876809591143,0.17374128533084893,0.04788245684364552,-0.05851630572664391,0.04290228621534331,0.19053173499290826
MAGED1,0.08297469780387333,-0.06364573040378346,0.062014442912448446,-0.033573801217899386,0.06973492594364387,-0.0032333623297572467,0.04626863027452648,0.07302295271961873,-0.001220477692446107,0.07681264781124038,0.11051246777071735,0.04370997556381474,0.1423635145394768,-0.048370943388527037,0.03700522319927046,0.09047559263426924,0.04861671647731888,0.18524802416930264,0.042208777191490146,0.2574105788278016,-0.09430591557902512,0.07095936577544017,0.3946124275990901,0.09667225716277843,-0.07624279329937497,0.07969312864883339,0.025104833008993632,1.0,0.30875560857534545,0.2688494509391451,0.6612394390798857,0.7151948863910226,0.10523214214000226,0.21579002374540987,0.4451801576857356,0.21995320772069785,0.14531859405905367,-0.1375781414071719,0.30799632035603086,0.3307034070375621,-0.07434386867651026,0.4925370705533326,0.08074260081465665
MAGED2,0.07205589294373456,-0.023553889984959102,0.3924611304852215,0.04183012972700804,0.0461353492288254,-0.06165740099831229,0.1466592115721373,-0.05161043049395511,0.4793671635592434,0.6886913022219329,0.46345189214780796,0.25110955374590804,0.06626793214491032,-0.0033969297330087287,-0.011851724965971562,0.01890469663645988,0.1362737435893191,0.22817818504281326,0.02122938652898934,-0.017168203505130417,-0.005331472543324034,0.03670772236930406,0.24054086641572422,0.011895474433468622,-0.07167688355013518,0.04378495545377961,0.1609703786367196,0.30875560857534545,1.0,0.6342995404808639,0.085052526236098,0.10954881817088695,0.023221615363931813,0.10776409943548838,-0.02022835373090337,0.3974356087357065,0.6423591391631897,-0.001961859741119162,0.3139353014113129,0.22894864168912074,-0.060163812768176186,0.2074389220844802,0.5725453877416825
TRO,-0.014815397908073336,-0.05366761431581027,0.3679361406310373,0.013896813519155097,-0.025240858386130865,0.0393076262347537,0.21240484433098644,0.00674998697861061,0.5832975401960158,0.6923108271624225,0.45211034017134494,0.28403298745106065,-0.022377600020774352,-0.12008369585778532,-0.05992670070907799,-0.067740916571933,0.07893194200801532,0.09595566495748627,0.03796394956014718,0.05841107759289441,-0.03162967910409947,0.0865905166050715,0.3800962467601329,0.01035088933959098,-0.02731374117998535,-0.020684293096491908,0.3721300929653886,0.2688494509391451,0.6342995404808639,1.0,0.23560836838610336,0.3233164925881117,0.13723579323880533,0.05070530068210859,0.1509804914899072,0.3380248976580907,0.7250286189792124,-0.11879764472670809,0.19487278352477636,0.07414366592548473,-0.06305825653152694,0.3713537722640488,0.5397651400580713
MAGED4,0.029970903925476598,0.014892181889909808,-0.001101024805030242,0.030078923983628755,0.00966931834269088,-0.09601344574592494,0.06621506094357799,0.012648559669472193,-0.044682969846409265,-0.015273307535536365,0.03244268417775158,-0.057859199293865564,0.02916855392298992,0.05217932843558294,0.015872120699663286,0.02146398862301159,0.02121584969704467,0.01800143766145055,0.08612402610972611,0.17676155746789596,-0.07973713859895215,0.0720245893223761,0.2958684784425606,0.12746386357155184,-0.05811920001797235,0.019207130951379776,0.04343009744856309,0.6612394390798857,0.085052526236098,0.23560836838610336,1.0,0.8355173729238411,0.19057088026140345,0.14774229116434792,0.3798525189115256,0.23002767135332286,0.07968648707322579,0.005379102536530297,0.147988308236724,0.1425185012191999,0.057903609278544495,0.32135226599835237,0.009560529668714492
