,SampleType,Gene,Expression,LogExpression
456,Tumor,TRO,6.5217,0.8763160077698706
457,Tumor,TRO,4.1374,0.7107433813812806
458,Tumor,TRO,5.2771,0.7977590474179965
459,Tumor,TRO,12.5265,1.1311854368544825
460,Tumor,TRO,10.2865,1.0525592859155033
461,Tumor,TRO,7.7936,0.9441667067074188
462,Tumor,TRO,11.5169,1.097496782580678
463,Tumor,TRO,11.478,1.0961449812943445
464,Tumor,TRO,13.1586,1.1510203125109713
465,Tumor,TRO,9.4905,1.0207961881045222
466,Tumor,TRO,11.9756,1.1131274490379854
467,Tumor,TRO,11.9306,1.1116186772890149
468,Tumor,TRO,9.2487,1.010668780647157
469,Tumor,TRO,7.6876,0.9388998166425718
470,Tumor,TRO,3.8162,0.6827045133604164
471,Tumor,TRO,7.2878,0.9184392621955104
472,Tumor,TRO,12.4539,1.1288481953395297
473,Tumor,TRO,6.0385,0.8474801149470176
474,Tumor,TRO,9.3024,1.012938407748049
475,Tumor,TRO,11.1086,1.0830939327861082
476,Tumor,TRO,10.1674,1.0479520722123663
477,Tumor,TRO,14.2543,1.1833922832263808
478,Tumor,TRO,8.9177,0.9964109672022081
479,Tumor,TRO,12.1504,1.118938963103398
480,Tumor,TRO,6.5821,0.8797895080199587
481,Tumor,TRO,2.9523,0.5968499023628745
482,Tumor,TRO,12.0525,1.1156937018827533
483,Tumor,TRO,10.5538,1.0627248454930731
484,Tumor,TRO,9.7577,1.031719428943667
485,Tumor,TRO,9.6707,1.0281929101616474
486,Tumor,TRO,11.5295,1.0979337404615392
487,Tumor,TRO,15.328,1.212932991708014
488,Tumor,TRO,14.9629,1.2031117930038897
489,Tumor,TRO,8.4193,0.9740186291800073
490,Tumor,TRO,9.9106,1.0378486341377593
491,Tumor,TRO,8.5205,0.9786597573696377
492,Tumor,TRO,12.4223,1.1278269414455937
493,Tumor,TRO,8.9727,0.9988127547362424
494,Tumor,TRO,14.0289,1.176927194731118
495,Tumor,TRO,10.1367,1.0467565208102136
496,Tumor,TRO,7.5432,0.9316205735032722
497,Tumor,TRO,4.0695,0.70496512739071
498,Tumor,TRO,7.0287,0.9046452303929545
499,Tumor,TRO,6.6712,0.8848633056196907
500,Tumor,TRO,8.2883,0.967936234103523
501,Tumor,TRO,5.5206,0.8142875596429865
502,Tumor,TRO,6.6791,0.8853103231646174
503,Tumor,TRO,6.474,0.8735530935136188
504,Tumor,TRO,9.8456,1.0352535830428078
505,Tumor,TRO,7.6836,0.9386998099696516
506,Tumor,TRO,5.5532,0.8164534225831682
507,Tumor,TRO,6.7284,0.8880895918361525
508,Tumor,TRO,15.8327,1.2261537832992206
509,Tumor,TRO,7.2458,0.9162327968793896
510,Tumor,TRO,14.2934,1.184504047681038
511,Tumor,TRO,5.5796,0.8181994919311057
512,Tumor,TRO,12.4322,1.1281471496465
513,Tumor,TRO,13.523,1.1620563373605521
514,Tumor,TRO,14.6068,1.19331386495813
515,Tumor,TRO,9.7658,1.0320463075154132
516,Tumor,TRO,8.2691,0.9670375675847375
517,Tumor,TRO,6.6895,0.8858981012707859
518,Tumor,TRO,2.4086,0.5325760396609023
519,Tumor,TRO,5.8115,0.8332427609566478
520,Tumor,TRO,8.372,0.9718322799249252
521,Tumor,TRO,5.9927,0.844644896588682
522,Tumor,TRO,11.9189,1.111225536548555
523,Tumor,TRO,7.2135,0.9145282614771809
524,Tumor,TRO,9.5181,1.0219372955173454
525,Tumor,TRO,11.2459,1.0879907086661431
526,Tumor,TRO,8.0216,0.9552835674254184
527,Tumor,TRO,11.8145,1.1077016654186433
528,Tumor,TRO,5.3344,0.8017054844081294
529,Tumor,TRO,8.3881,0.9725777069615879
530,Tumor,TRO,6.8388,0.8942495839514613
531,Tumor,TRO,7.9634,0.952472777647684
532,Tumor,TRO,10.4903,1.0603313678217672
533,Tumor,TRO,9.2469,1.0105924979260426
534,Tumor,TRO,10.7633,1.070529172993956
535,Tumor,TRO,7.0118,0.9037300993858286
