,TCGA-02-0055,TCGA-06-0129,TCGA-06-0130,TCGA-06-0190,TCGA-06-0190,TCGA-06-0210,TCGA-06-0210,TCGA-06-2558,TCGA-12-0619,TCGA-14-1402,TCGA-16-1045,TCGA-19-2625,TCGA-32-1982,TCGA-32-2638,TCGA-76-4927,TCGA-06-2565,TCGA-12-0821,TCGA-14-0871
ENSG00000006576.16,2115,2563,3633,1366,2459,1375,1004,2698,2399,1093,978,788,397,1497,804,1116,1424,840
ENSG00000006606.9,250,1,135,42,1618,24,11,21,43,53,9,41,7,15,8,16,9,0
ENSG00000006607.14,867,1858,943,850,1047,1282,1678,1622,1568,605,1184,950,290,2245,980,3065,1537,222
ENSG00000006611.17,34,287,31,29,4,45,245,48,15,161,82,34,28,34,154,15,3039,9
ENSG00000006625.18,1073,503,1022,592,685,869,812,586,927,310,433,831,210,530,767,485,984,213
ENSG00000006634.8,606,1599,1458,714,701,701,791,1618,1121,916,297,415,185,618,827,651,1488,329
ENSG00000006638.13,311,241,369,427,1246,157,344,420,149,62,167,230,159,640,279,215,211,17
ENSG00000006652.15,732,592,792,997,845,950,629,857,1117,835,490,1185,245,637,597,617,1666,113
ENSG00000006659.13,1,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
ENSG00000006695.12,533,900,523,425,431,677,703,619,440,503,483,712,177,683,368,705,727,159
ENSG00000006704.11,1326,2149,1081,1647,1736,1884,1698,969,2677,494,1121,2131,474,1577,1181,1407,1746,667
ENSG00000006712.15,2688,4217,2573,4386,3553,3302,3668,2875,3402,1701,2489,5893,1229,5992,3526,4771,4163,816
ENSG00000006715.16,3154,6240,3857,4131,2509,5594,6023,6157,4174,2620,4825,3708,1052,4573,3505,4927,6447,655
ENSG00000006740.17,124,73,50,76,99,50,165,304,28,164,85,23,101,196,155,307,210,58
ENSG00000006744.19,2430,4343,2822,2489,2115,3124,4969,3611,2860,1914,3000,4313,1069,4203,2772,4271,4233,746
ENSG00000006747.15,336,4293,2696,2443,645,4095,7280,3277,3879,624,4233,445,800,2088,3913,409,903,67
ENSG00000006756.16,1685,464,1645,2162,1630,1742,1916,1251,3377,920,1871,2730,668,1848,1249,2004,1680,134
ENSG00000006757.12,817,146,784,841,545,183,388,820,88,771,1093,447,296,179,619,71,507,99
ENSG00000006788.14,7,1,1,3,4,0,1,0,0,0,0,0,2,1,1,0,0,0
ENSG00000006831.10,2825,3368,3557,3547,3087,4441,4192,3468,4176,1891,3989,3582,1872,4178,3087,3490,4911,435
ENSG00000006837.12,57,82,73,29,23,68,48,78,69,69,43,90,24,57,43,91,77,9
ENSG00000007001.13,32,18,4,21,11,9,22,40,33,29,8,13,29,25,11,28,61,0
ENSG00000007038.11,4,12,23,29,12,22,24,2,3,6,11,4,6,5,5,16,6,0
ENSG00000007047.15,1938,3118,1577,3106,2881,2530,2156,2172,2723,772,1779,3573,659,3908,1456,3342,2903,574
ENSG00000007062.12,150,1187,158,506,18,3622,781,994,95,136,1020,879,155,1161,1232,1043,1922,492
ENSG00000007080.11,3013,3347,2271,3383,2695,2212,2947,3246,3177,1416,2033,4600,1125,5457,2862,3999,3510,483
ENSG00000007129.18,116,134,300,150,188,163,325,121,204,51,227,39,88,178,86,63,38,6
ENSG00000007168.14,5410,12424,5628,5743,5038,8947,10065,9757,6129,3966,6863,7283,1985,10030,5299,10812,8136,1008
ENSG00000007171.18,82,144,194,915,1159,65,209,196,684,302,581,74,587,7478,212,2374,323,76
ENSG00000007174.18,192,72,477,678,148,721,832,683,1867,455,1092,1080,250,1060,1365,2151,1830,26
ENSG00000007202.15,3244,7452,3649,3293,4539,5468,8288,4599,5243,1710,6681,4988,1364,6872,3647,7006,5059,753
ENSG00000007216.15,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ENSG00000007237.19,2875,13994,2512,12690,2926,12263,24360,3802,3019,1182,6700,8845,3061,5005,4988,9634,4186,168
ENSG00000007255.10,633,580,652,651,366,635,545,777,1025,684,434,578,312,903,383,623,410,91
ENSG00000007264.15,204,130,191,60,171,46,122,220,68,154,49,27,58,94,61,92,65,9
ENSG00000007306.15,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
ENSG00000007312.13,17,8,22,9,17,7,14,49,15,36,26,92,36,10,15,25,38,1
ENSG00000007314.12,10,3,7,7,37,5,11,54,37,1,10,9,77,18,5,835,88,12
ENSG00000007341.19,674,843,630,551,409,659,516,552,843,644,346,804,216,719,455,943,858,123
ENSG00000007350.17,45,69,50,72,11,49,49,91,98,34,24,134,8,18,402,98,3065,2
ENSG00000007372.24,594,1498,477,304,121,214,618,576,673,859,649,990,199,1881,332,3183,602,24
ENSG00000007376.8,970,1622,1171,1182,950,983,1175,1751,1306,751,673,1633,468,1754,955,1188,1394,171
ENSG00000007384.15,790,1367,1169,1652,1788,2400,1536,1956,1112,360,896,1170,591,2592,940,2196,1592,503
ENSG00000007392.17,1574,7075,2196,2475,1507,4023,1942,3543,2360,1558,1825,2812,1539,3593,1074,7023,3328,869
ENSG00000007402.12,88,564,50,131,85,51,57,261,991,81,149,79,48,69,49,179,122,182
ENSG00000007516.14,235,1289,80,709,32,847,3754,1789,582,599,4286,1921,434,5501,905,4643,1816,53
ENSG00000007520.4,1529,1767,1498,1434,1251,1831,1932,1867,1528,761,1142,2321,477,2263,1326,1432,1909,185
ENSG00000007541.17,1416,3614,1843,2155,1214,1820,1759,2083,2273,570,1664,2923,843,3385,1691,2840,2511,158
ENSG00000007545.16,425,1901,793,806,672,946,659,1094,1198,292,555,1074,235,1099,495,1411,1020,230
ENSG00000007866.22,1606,674,575,1750,1745,1662,784,341,1587,545,789,1125,246,1735,458,1400,923,671
