gene,classification,Stage I,Stage IA,Stage IB,Stage IIA,Stage IIB,Stage III,Stage IIIB,Stage IV
MAGED1,Positive,0.564971751412429,1.69491525423729,9.03954802259887,10.7344632768362,41.8079096045198,27.683615819209,0.564971751412429,7.90960451977401
MAGED1,Negative,0,0,0,0,0,0,0,0
MAGED2,Positive,0.564971751412429,1.69491525423729,9.03954802259887,10.7344632768362,41.8079096045198,27.683615819209,0.564971751412429,7.90960451977401
MAGED2,Negative,0,0,0,0,0,0,0,0
TRO,Positive,0.564971751412429,1.69491525423729,9.03954802259887,10.7344632768362,41.8079096045198,27.683615819209,0.564971751412429,7.90960451977401
TRO,Negative,0,0,0,0,0,0,0,0
MAGED4,Positive,0.564971751412429,0,5.08474576271187,6.77966101694915,19.2090395480226,17.5141242937853,0,6.21468926553672
MAGED4,Negative,0,1.69491525423729,3.95480225988701,3.95480225988701,22.5988700564972,10.1694915254237,0.564971751412429,1.69491525423729
MAGED4B,Positive,0.564971751412429,1.12994350282486,6.21468926553672,7.90960451977401,29.3785310734463,22.5988700564972,0.564971751412429,6.21468926553672
MAGED4B,Negative,0,0.564971751412429,2.82485875706215,2.82485875706215,12.4293785310734,5.08474576271187,0,1.69491525423729
MAGEE1,Positive,0.564971751412429,1.69491525423729,9.03954802259887,10.7344632768362,41.8079096045198,27.683615819209,0.564971751412429,7.90960451977401
MAGEE1,Negative,0,0,0,0,0,0,0,0
MAGEE2,Positive,0.564971751412429,1.69491525423729,8.47457627118644,10.7344632768362,40.6779661016949,27.1186440677966,0.564971751412429,7.34463276836158
MAGEE2,Negative,0,0,0.564971751412429,0,1.12994350282486,0.564971751412429,0,0.564971751412429
MAGEF1,Positive,0.564971751412429,1.69491525423729,9.03954802259887,10.7344632768362,41.8079096045198,27.683615819209,0.564971751412429,7.90960451977401
MAGEF1,Negative,0,0,0,0,0,0,0,0
NSMCE3,Positive,0.564971751412429,1.69491525423729,9.03954802259887,10.7344632768362,41.8079096045198,27.683615819209,0.564971751412429,7.90960451977401
NSMCE3,Negative,0,0,0,0,0,0,0,0
MAGEH1,Positive,0.564971751412429,1.69491525423729,9.03954802259887,10.7344632768362,41.8079096045198,27.683615819209,0.564971751412429,7.90960451977401
MAGEH1,Negative,0,0,0,0,0,0,0,0
MAGEL2,Positive,0.564971751412429,1.69491525423729,9.03954802259887,10.7344632768362,41.8079096045198,27.683615819209,0.564971751412429,7.90960451977401
MAGEL2,Negative,0,0,0,0,0,0,0,0
TRIM28,Positive,0.564971751412429,1.69491525423729,9.03954802259887,10.7344632768362,41.8079096045198,27.683615819209,0.564971751412429,7.90960451977401
TRIM28,Negative,0,0,0,0,0,0,0,0
NDN,Positive,0.564971751412429,1.69491525423729,9.03954802259887,10.7344632768362,41.8079096045198,27.683615819209,0.564971751412429,7.90960451977401
NDN,Negative,0,0,0,0,0,0,0,0
