,C3L-00625-03,C3L-01053-01,C3L-01971-02,C3L-03743-01,C3N-00303-01,C3N-00516-02,C3N-01385-02,C3N-02579-02,C3N-02590-01,C3N-02696-02-2,C3N-03061-01,C3N-03853-02,C3L-02606-02,C3L-03639-03,C3N-02696-02,C3N-03000-02,C3N-04284-01
ENSG00000008130.15,1293,2087,1765,1760,1978,1645,2039,3249,694,1599,1816,1460,1663,2767,2183,1205,1255
ENSG00000008196.13,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1
ENSG00000008197.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
ENSG00000008226.20,153,162,98,114,230,206,126,131,97,234,118,239,96,79,207,106,57
ENSG00000008256.16,2650,2148,2080,3033,2377,2227,2210,3429,941,2824,2040,1859,1573,1629,3514,2441,707
ENSG00000008277.14,1674,2710,1243,2286,2085,1891,2290,2234,161,2148,1603,1425,1300,527,3174,2635,492
ENSG00000008282.9,2323,2122,2978,4636,2023,2792,2617,3546,391,3260,4442,3071,2626,6401,4746,3343,2433
ENSG00000008283.16,1471,2836,2387,2507,1278,2217,3458,4433,1787,3008,3872,2476,2093,3307,3256,1997,5696
ENSG00000008294.21,6421,9019,9032,11815,8504,8974,9872,16384,2710,10542,13309,6844,11519,11218,12086,12804,8342
ENSG00000008300.17,156,399,686,155,554,512,429,134,508,422,144,382,202,446,512,458,310
ENSG00000008311.15,2147,6048,2101,2175,1528,1744,2055,1944,478,2708,2614,2075,1629,1357,2249,2569,1355
ENSG00000008323.15,884,300,500,1358,492,457,366,537,272,523,923,425,424,529,891,610,221
ENSG00000008324.12,266,324,445,344,417,357,383,463,68,381,360,297,344,325,463,343,272
ENSG00000008382.16,203,220,139,78,169,155,187,204,91,203,126,126,100,82,242,100,122
ENSG00000008394.13,379,560,641,919,583,1205,777,534,177,737,1201,1305,1271,3094,738,1597,831
ENSG00000008405.12,739,1025,1123,1420,797,716,1110,1522,293,1089,1128,657,980,1142,1378,955,536
ENSG00000008438.5,5,30,17,26,13,15,18,9,8,27,11,5,19,4,23,27,10
ENSG00000008441.18,1175,885,947,997,1505,661,828,1001,717,3509,630,744,649,604,2935,991,811
ENSG00000008513.16,4828,5228,3817,7425,6976,7626,4932,14802,1103,4801,5694,4655,5831,2605,4682,4636,1942
ENSG00000008516.17,44,79,48,26,133,53,37,49,39,107,60,40,80,103,77,22,29
ENSG00000008517.18,1575,2124,2073,1580,1335,1594,3495,3786,681,1798,4093,779,2311,2860,1769,1198,1055
ENSG00000008710.20,2470,3062,2395,1841,3391,2313,1895,2465,2218,2682,1544,1459,2335,1286,4795,2278,1361
ENSG00000008735.14,32,142,198,51,26,42,197,26,21,144,100,78,67,89,210,25,87
ENSG00000008838.20,1408,1452,1207,1302,1510,1453,1422,1767,794,1919,1314,1019,1669,1724,2129,1389,947
ENSG00000008853.17,428,571,447,665,1031,1037,567,794,248,658,548,357,525,417,621,533,332
ENSG00000008869.12,2841,3917,3281,3058,4555,3753,4119,5737,931,4752,3188,1963,2383,2924,5483,2940,3521
ENSG00000008952.17,4285,4974,4717,6009,4464,5699,6037,8007,1101,7071,9334,5125,3648,4170,14159,5640,6164
ENSG00000008988.11,14578,15361,16181,22608,16212,22202,15405,29289,4456,15875,13650,13518,15318,17746,22463,26058,17149
ENSG00000009307.16,19670,23244,20366,35559,18670,29114,25644,46717,4744,26872,24220,15112,21581,24597,36126,28903,22193
ENSG00000009335.18,4858,5187,5227,5359,5152,8100,6009,6796,1332,5952,7705,4781,3427,8525,7651,5192,4522
ENSG00000009413.16,2613,4673,3917,4177,5217,2913,4788,4096,1065,6998,4221,3306,3328,3783,7353,4234,4672
ENSG00000009694.13,80,127,316,119,859,149,110,82,557,316,91,74,671,179,494,200,123
ENSG00000009709.12,0,0,1,1,0,10,0,0,3,0,3,0,58,0,0,2,1
ENSG00000009724.17,79,164,107,118,361,146,112,173,49,332,86,124,35,84,250,138,132
ENSG00000009765.15,408,73,596,1780,68,697,871,1313,56,118,492,854,136,11,509,90,340
ENSG00000009780.16,525,853,717,751,697,730,807,831,190,834,675,410,493,872,809,565,527
ENSG00000009790.15,325,469,498,300,3513,789,963,388,116,862,429,319,389,347,723,214,201
ENSG00000009830.12,1125,907,732,798,865,720,877,1266,444,1227,853,1037,848,906,1125,916,630
ENSG00000009844.16,1043,1111,1251,3010,1015,1711,1823,2557,300,1451,1976,1548,1321,1921,2320,1949,898
ENSG00000009950.16,316,322,523,190,96,99,423,133,49,787,78,120,161,47,754,45,345
