,C3L-00625-03,C3L-01053-01,C3L-01971-02,C3L-03743-01,C3N-00303-01,C3N-00516-02,C3N-01385-02,C3N-02579-02,C3N-02590-01,C3N-02696-02-2,C3N-03061-01,C3N-03853-02,C3L-02606-02,C3L-03639-03,C3N-02696-02,C3N-03000-02,C3N-04284-01
ENSG00000264040.1,2,0,0,0,1,0,1,4,0,2,0,0,0,0,4,0,2
ENSG00000264041.2,2,2,0,4,1,1,3,4,1,6,2,3,2,3,5,5,1
ENSG00000264044.1,39,22,32,35,56,26,18,26,8,46,54,25,42,36,46,36,25
ENSG00000264047.2,4,8,5,6,9,3,8,13,3,2,5,3,8,7,10,11,5
ENSG00000264049.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264050.1,0,1,0,1,0,1,0,0,0,0,1,0,2,1,0,0,0
ENSG00000264054.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264056.1,1,4,12,7,15,9,10,7,2,5,8,9,58,10,12,1,3
ENSG00000264057.1,64,44,73,73,52,33,88,46,50,92,24,32,68,28,62,31,45
ENSG00000264058.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264060.1,0,3,0,2,5,0,0,3,4,8,3,4,4,0,6,7,4
ENSG00000264061.1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ENSG00000264063.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
ENSG00000264066.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
ENSG00000264067.1,16,5,2,17,10,16,12,10,1,2,8,3,4,3,1,2,2
ENSG00000264069.3,8,13,7,4,6,11,6,17,5,7,15,2,4,0,10,24,1
ENSG00000264070.1,16,29,56,8,59,25,100,21,45,33,10,8,41,8,41,14,14
ENSG00000264071.2,19,18,12,17,30,13,17,42,4,19,23,16,7,10,15,20,13
ENSG00000264072.1,0,0,0,0,1,1,2,3,0,38,3,2,0,0,7,1,11
ENSG00000264073.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264075.1,5,1,2,1,2,0,1,2,1,0,1,3,0,4,4,4,0
ENSG00000264078.1,5,0,0,0,5,2,0,2,1,8,6,3,5,3,4,1,6
ENSG00000264080.1,0,0,0,0,0,0,2,0,0,1,0,0,0,2,2,5,0
ENSG00000264083.1,5,25,9,16,25,16,7,19,8,19,5,5,9,10,16,9,6
ENSG00000264084.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264089.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264090.1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264092.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264093.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264099.1,2,11,10,22,8,8,5,24,1,20,11,6,10,6,15,10,2
ENSG00000264101.1,1,0,7,1,2,1,1,3,2,2,0,9,0,2,5,0,2
ENSG00000264102.1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264104.1,1,1,0,1,0,1,6,0,0,9,0,0,0,1,4,1,1
ENSG00000264105.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264107.1,6,14,11,6,7,4,8,20,0,22,12,9,10,3,11,15,5
ENSG00000264108.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000264110.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000264112.1,696,1150,920,1453,1143,880,874,2267,592,1735,780,961,979,1179,1203,1539,845
ENSG00000264113.2,0,1,2,0,4,2,0,2,1,7,3,1,2,1,0,0,0
ENSG00000264115.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264116.6,0,2,0,0,4,1,3,3,0,6,1,0,0,2,4,0,1
ENSG00000264119.1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0
ENSG00000264125.1,0,2,3,2,0,1,4,3,1,2,3,1,1,0,2,0,4
ENSG00000264127.1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
ENSG00000264128.2,0,3,1,0,0,4,9,4,0,3,4,2,5,7,4,3,0
ENSG00000264131.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264136.1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0
ENSG00000264138.1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0
ENSG00000264139.1,1,0,0,1,14,0,0,0,0,2,0,0,1,0,9,2,2
ENSG00000264141.1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
ENSG00000264145.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264148.1,5,8,8,5,13,2,10,10,3,13,3,7,3,3,21,5,9
ENSG00000264149.1,0,0,0,1,6,2,0,6,1,4,1,2,2,2,2,3,4
ENSG00000264150.1,1,4,1,4,3,6,4,3,2,13,2,0,1,2,6,1,0
ENSG00000264151.6,0,0,1,2,0,4,2,3,0,0,2,1,0,0,1,1,2
ENSG00000264157.3,11,0,0,0,2,0,0,2,4,14,0,1,4,2,4,1,2
ENSG00000264158.1,2,3,2,5,8,4,2,6,3,1,3,2,4,2,8,4,5
ENSG00000264160.1,22,21,15,12,18,12,9,25,3,32,18,16,28,12,16,26,17
ENSG00000264163.1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0
ENSG00000264164.1,0,0,0,0,2,2,4,1,0,1,1,0,1,0,0,1,0
ENSG00000264167.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264168.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264169.2,30,129,37,71,25,32,476,66,6,86,42,17,45,33,168,34,69
ENSG00000264171.1,11,7,4,19,15,15,9,17,3,15,10,9,19,8,19,8,12
ENSG00000264172.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000264174.1,0,1,0,2,1,0,1,0,0,5,0,0,0,0,0,2,0
ENSG00000264175.1,11,15,15,4,2,4,41,9,6,53,16,6,5,18,33,2,18
ENSG00000264176.1,28,26,28,17,99,19,24,33,24,105,19,17,16,9,74,31,21
ENSG00000264177.1,8,1,1,1,0,2,2,1,1,0,1,3,0,0,0,0,0
ENSG00000264179.1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
ENSG00000264186.1,41,35,24,68,51,24,34,103,40,85,160,46,39,130,53,38,29
ENSG00000264187.1,2,4,2,6,5,3,3,4,2,7,1,3,3,7,13,4,6
ENSG00000264188.1,29,23,30,37,21,11,20,20,15,20,12,12,15,30,16,14,7
ENSG00000264189.1,0,0,1,14,0,1,2,0,0,0,6,0,1,2,0,5,1
ENSG00000264192.1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,2,0,0
ENSG00000264193.1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0
ENSG00000264196.1,37,49,28,41,84,30,51,49,24,145,71,45,54,47,91,70,73
ENSG00000264200.1,3,4,0,0,1,0,2,3,1,12,0,2,1,1,4,0,1
ENSG00000264201.1,4,2,1,4,1,3,5,11,1,2,2,3,2,0,3,2,3
ENSG00000264204.2,6,60,54,79,20,15,6,0,1,9,5,5,8,0,3,1,15
ENSG00000264207.1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
ENSG00000264210.1,2,3,1,1,1,4,0,1,0,1,3,2,0,1,1,0,0
ENSG00000264211.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264212.1,2,1,0,2,1,2,2,0,0,5,0,1,0,0,4,0,0
ENSG00000264215.1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2
ENSG00000264217.2,22,20,9,29,40,24,17,33,10,27,19,18,8,19,27,37,15
ENSG00000264226.1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ENSG00000264229.1,39,51,84,55,227,85,89,82,32,115,107,61,120,31,104,68,50
ENSG00000264230.9,57,108,17,1386,99,909,89,365,18,13,329,286,686,597,88,342,0
ENSG00000264232.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264233.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000264235.6,17,12,12,22,76,25,14,30,3,12,38,13,12,32,21,32,7
ENSG00000264236.1,31,18,39,18,30,24,29,30,6,40,26,11,6,12,48,19,7
ENSG00000264240.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264243.1,2,2,0,2,1,0,0,0,1,4,0,0,3,1,1,2,1
ENSG00000264245.1,0,1,0,2,0,3,1,0,0,0,2,2,1,2,1,2,0
ENSG00000264246.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ENSG00000264247.2,292,323,389,245,892,416,419,442,90,506,389,200,132,207,574,291,322
ENSG00000264249.1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000264250.2,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0
ENSG00000264251.2,0,1,1,1,1,1,0,0,2,0,0,0,1,1,1,1,1
ENSG00000264254.1,3,1,2,4,7,1,5,0,0,8,3,0,2,0,0,0,3
ENSG00000264257.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264260.2,2,8,5,3,2,6,0,2,0,20,2,0,0,2,12,6,0
ENSG00000264262.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264265.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000264266.1,3,2,0,0,1,3,1,1,1,2,1,0,3,0,0,1,5
ENSG00000264268.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264269.1,6,9,9,6,19,6,11,6,6,23,10,6,3,17,18,6,16
ENSG00000264270.1,42,56,52,98,89,53,27,120,39,163,64,44,105,57,122,101,59
ENSG00000264271.2,4,2,0,2,3,2,4,5,0,0,1,3,0,1,5,6,2
ENSG00000264272.1,0,1,0,2,2,3,3,0,0,5,0,0,0,0,4,3,0
ENSG00000264273.1,4,7,0,7,9,2,8,5,4,12,5,3,5,9,16,2,11
ENSG00000264274.1,4,4,6,4,2,1,3,7,3,13,1,6,16,6,7,8,3
ENSG00000264275.1,7,28,18,25,20,10,34,20,1,37,11,4,10,9,31,7,17
ENSG00000264278.1,30,67,41,28,67,40,47,24,12,56,28,8,26,41,70,19,34
ENSG00000264279.1,2,6,0,5,6,8,1,0,3,10,0,1,7,2,3,7,3
ENSG00000264281.3,15,20,26,22,21,13,20,23,3,68,24,8,24,30,43,8,19
ENSG00000264289.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000264290.1,17,32,24,31,42,14,11,39,9,45,12,29,28,10,41,17,10
ENSG00000264292.1,18,5,7,5,22,11,9,14,11,42,12,10,14,8,20,16,20
ENSG00000264293.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264294.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264295.1,4,7,3,2,9,5,7,4,1,7,5,2,7,1,4,10,3
ENSG00000264296.1,7,15,6,14,32,16,13,18,5,19,18,7,19,32,13,12,5
ENSG00000264297.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264300.1,0,0,1,3,6,3,3,5,0,1,0,5,1,0,7,3,1
ENSG00000264301.1,1,0,3,0,0,2,0,0,0,1,0,7,0,0,0,4,5
ENSG00000264304.1,25,16,16,23,34,23,23,29,15,85,26,17,24,33,53,21,23
ENSG00000264309.1,5,5,11,3,4,1,1,2,0,4,2,3,6,9,3,2,0
ENSG00000264311.1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000264313.2,2,2,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000264314.1,22,13,11,17,5,15,8,19,2,16,12,17,17,9,19,11,6
ENSG00000264315.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264316.1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0
ENSG00000264317.2,8,3,6,1,8,2,6,0,1,1,2,2,2,4,11,6,4
ENSG00000264319.1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264322.2,7,21,10,4,12,5,39,34,4,19,19,10,8,12,31,12,13
ENSG00000264324.1,4,4,5,6,13,5,5,6,1,4,9,6,8,2,10,9,3
ENSG00000264330.1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0
ENSG00000264334.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264339.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264340.1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
ENSG00000264341.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000264342.3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,5,5,0
ENSG00000264343.6,7,1,41,65,52,38,63,2,6,66,82,32,25,60,39,60,5
ENSG00000264345.2,12,16,7,9,6,7,4,13,4,15,10,8,14,0,15,20,0
ENSG00000264346.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264349.1,8,1,5,8,7,10,3,20,1,7,9,3,2,13,4,3,5
ENSG00000264350.1,40,34,56,94,24,66,51,126,10,33,68,31,42,85,44,62,18
ENSG00000264352.2,2,1,2,0,1,0,1,0,0,1,0,0,2,1,1,0,0
ENSG00000264354.1,21,6,13,3,15,21,9,25,7,14,16,16,11,16,12,7,10
ENSG00000264357.1,2,2,7,4,6,11,6,2,4,0,3,3,0,1,2,4,4
ENSG00000264358.1,0,1,0,0,1,2,0,6,0,0,5,2,2,3,2,0,0
ENSG00000264359.1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264364.3,1756,2244,2798,2345,2174,2304,2754,3972,1155,3852,2665,3131,2382,2923,3223,2243,2103
ENSG00000264365.1,6,4,5,4,14,12,15,4,1,18,6,7,9,11,22,6,10
ENSG00000264370.1,11,17,11,15,25,16,9,14,1,21,6,11,13,21,12,15,9
ENSG00000264371.1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264373.1,0,5,2,6,5,4,2,6,1,6,4,1,1,3,9,6,2
ENSG00000264377.1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
ENSG00000264379.1,0,6,67,96,116,232,4,139,21,5,6,0,66,60,11,56,6
ENSG00000264384.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264386.1,5,4,1,5,25,7,14,9,3,27,5,4,2,7,9,6,6
ENSG00000264387.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264388.1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264390.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264391.2,4,1,10,9,2,7,4,9,1,10,4,5,1,3,10,3,1
ENSG00000264395.1,4,0,0,13,11,20,3,19,1,2,7,6,8,6,10,7,4
ENSG00000264397.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264399.1,0,3,0,0,7,0,2,0,1,3,0,0,0,0,0,1,0
ENSG00000264400.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ENSG00000264402.1,0,0,0,0,3,2,0,6,0,2,1,1,2,0,0,1,0
ENSG00000264404.3,0,6,4,3,0,1,8,1,0,12,1,1,1,1,8,2,8
ENSG00000264405.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264406.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264408.1,2,2,3,0,2,1,0,0,3,1,0,2,1,2,0,0,0
ENSG00000264419.1,0,4,2,3,3,6,1,13,0,9,7,3,5,7,4,7,4
ENSG00000264421.1,18,33,19,42,31,11,24,43,4,59,36,17,30,24,50,23,35
ENSG00000264422.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264423.2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0
ENSG00000264424.1,96,130,58,205,109,106,160,194,11,113,101,70,32,21,92,62,9
ENSG00000264425.1,6,8,8,8,4,27,6,15,4,1,9,15,7,23,1,8,6
ENSG00000264426.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264429.1,3,4,5,5,16,2,4,1,8,5,3,4,3,6,19,8,2
ENSG00000264431.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264434.2,36,25,26,26,24,44,25,35,31,51,30,18,18,5,24,52,12
ENSG00000264435.1,0,1,1,7,2,1,0,1,1,2,2,0,0,1,5,0,0
ENSG00000264438.2,1,0,0,0,0,0,1,1,0,0,2,2,1,0,2,0,0
ENSG00000264443.1,7,13,3,2,1,5,13,13,1,23,3,8,3,2,9,4,11
ENSG00000264444.1,24,18,10,14,9,15,12,21,2,44,9,8,7,14,26,10,7
ENSG00000264448.5,4,3,3,2,37,5,5,12,1,3,0,13,5,9,11,2,3
ENSG00000264449.6,24,52,27,91,52,25,49,43,17,147,68,35,10,14,108,28,64
ENSG00000264451.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000264452.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ENSG00000264456.1,103,77,92,101,181,97,137,135,40,300,142,61,119,66,200,100,81
ENSG00000264458.1,32,36,50,58,36,38,26,40,11,65,39,24,30,15,58,38,34
ENSG00000264462.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0,0
ENSG00000264464.1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
ENSG00000264468.1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,1,0,0
ENSG00000264470.1,0,3,3,0,1,3,2,10,0,8,6,3,3,0,3,1,1
ENSG00000264472.4,33,40,31,73,50,40,27,70,13,93,59,23,33,33,107,54,15
ENSG00000264474.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264475.1,0,2,0,2,0,3,0,0,0,0,1,1,12,1,3,7,3
ENSG00000264477.1,0,0,2,2,1,1,1,0,0,1,0,0,0,0,0,0,1
ENSG00000264480.1,14,7,9,33,23,19,40,35,5,44,30,15,34,46,38,51,33
ENSG00000264482.1,0,3,7,2,7,2,2,2,0,2,1,3,4,25,2,1,2
ENSG00000264483.1,0,4,2,5,2,1,1,9,4,4,1,4,5,0,5,9,7
ENSG00000264484.2,1,4,0,0,0,0,0,0,1,3,0,0,0,0,1,0,2
ENSG00000264486.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264488.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264490.3,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,3,0
ENSG00000264491.1,0,1,3,1,3,3,4,1,0,10,6,5,2,0,26,16,1
ENSG00000264493.1,0,0,0,0,6,0,3,1,3,6,0,0,0,1,4,0,0
ENSG00000264494.1,5,1,0,0,1,3,1,3,0,5,2,0,1,0,5,2,2
ENSG00000264497.1,1,2,1,3,3,9,0,1,0,9,1,0,4,0,4,2,2
ENSG00000264500.1,7,1,5,2,34,6,5,3,3,3,5,6,1,4,9,6,3
ENSG00000264501.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264503.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264511.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000264512.2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,0,0
ENSG00000264513.1,152,137,163,196,96,227,148,425,65,184,388,235,264,280,169,359,54
ENSG00000264514.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264515.6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264519.2,0,0,0,1,0,1,0,1,0,0,2,0,0,0,1,0,0
ENSG00000264520.1,34,48,23,34,72,35,30,35,15,88,39,30,23,30,39,26,42
ENSG00000264522.6,2851,1977,1713,2463,1344,3562,2122,4817,1344,2322,2668,1820,2369,2288,2652,1883,1412
ENSG00000264525.1,0,0,5,0,0,2,0,0,0,0,0,0,5,2,1,4,0
ENSG00000264529.1,75,55,47,67,60,75,44,106,21,53,138,77,79,77,55,122,22
ENSG00000264530.2,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0
ENSG00000264534.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264536.1,16,13,18,21,33,15,25,19,8,44,22,11,11,12,32,17,22
ENSG00000264538.6,868,896,739,1002,1021,644,780,1177,279,1442,1116,837,690,558,1244,904,746
ENSG00000264539.1,2,2,3,5,1,1,1,1,0,1,1,0,4,5,2,1,1
ENSG00000264540.2,8,1,6,2,8,4,6,3,3,9,6,1,6,4,14,5,2
ENSG00000264545.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264546.1,88,89,93,97,150,52,82,74,74,123,136,82,106,63,86,73,67
ENSG00000264548.1,8,5,6,3,11,6,4,9,4,27,15,7,7,22,15,6,7
ENSG00000264549.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264553.1,8,12,2,8,10,6,7,12,1,8,5,5,4,22,12,6,6
ENSG00000264554.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264558.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264559.1,3,3,6,7,10,5,6,6,3,15,6,7,9,2,6,4,5
ENSG00000264563.1,0,0,3,1,1,0,2,2,1,6,1,0,1,1,2,0,0
ENSG00000264564.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264566.3,2,0,2,1,0,1,4,0,0,3,1,1,1,1,2,0,0
ENSG00000264569.1,1,3,1,1,2,1,2,2,2,2,0,1,1,1,3,2,4
ENSG00000264570.1,1,4,4,1,3,9,6,7,3,4,5,5,4,6,5,3,32
ENSG00000264571.1,0,1,4,2,3,3,2,2,0,0,0,0,0,1,5,2,2
ENSG00000264572.1,46,37,11,42,13,11,22,22,20,59,26,21,39,29,23,42,35
ENSG00000264573.2,31,32,30,20,32,15,85,67,10,37,45,16,54,20,53,26,21
ENSG00000264574.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264575.1,55,47,55,78,108,41,72,105,36,78,83,49,35,54,74,62,70
ENSG00000264577.1,80,95,95,136,99,85,93,235,32,99,153,97,144,166,97,109,83
ENSG00000264578.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264580.1,5,5,3,1,2,3,9,1,2,16,1,0,1,12,7,3,13
ENSG00000264582.2,3,4,5,3,5,3,26,11,2,31,3,1,9,2,26,7,4
ENSG00000264583.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ENSG00000264585.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264587.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264589.4,5,1,0,1,1,2,1,1,1,8,2,2,1,1,6,2,2
ENSG00000264592.2,0,0,2,0,0,0,0,0,1,4,1,0,0,0,2,0,0
ENSG00000264595.1,0,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1
ENSG00000264596.1,71,163,89,52,90,58,99,180,49,108,121,96,84,88,95,102,84
ENSG00000264598.1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000264603.1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
ENSG00000264607.1,1,7,10,3,13,4,1,9,1,23,1,2,5,4,19,6,8
ENSG00000264610.1,2,1,1,0,5,2,2,2,1,5,2,1,0,2,4,3,4
ENSG00000264613.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000264614.1,0,0,0,2,0,1,1,1,0,1,0,2,2,0,1,0,1
ENSG00000264615.2,0,1,2,0,2,2,2,1,1,1,0,1,3,0,1,2,3
ENSG00000264616.1,15,10,24,23,17,7,17,47,10,26,23,18,41,22,22,43,22
ENSG00000264617.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000264618.2,57,68,106,68,52,38,120,58,18,483,24,45,89,62,98,79,104
ENSG00000264621.1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,1
ENSG00000264622.1,0,3,1,1,2,3,1,0,0,6,2,1,0,0,0,3,2
ENSG00000264623.3,2,14,16,13,14,11,11,10,3,23,7,6,7,6,20,19,15
ENSG00000264630.5,278,236,483,351,200,258,243,419,151,441,429,237,225,333,417,339,222
ENSG00000264633.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264634.1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000264635.1,30,34,15,58,25,25,29,40,12,27,66,33,34,43,31,27,11
ENSG00000264638.1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0
ENSG00000264643.1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
ENSG00000264644.1,3,2,1,8,1,0,2,9,2,3,2,0,4,15,2,1,1
ENSG00000264647.1,2,1,3,2,4,5,0,2,1,3,3,1,0,4,8,2,1
ENSG00000264653.1,30,22,20,31,61,24,26,31,15,70,18,19,46,55,27,31,12
ENSG00000264655.1,2,2,0,2,4,3,1,4,0,3,2,0,8,0,4,1,1
ENSG00000264657.1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0
ENSG00000264658.1,0,0,1,0,1,0,0,0,2,5,1,1,1,0,2,2,0
ENSG00000264659.2,4,9,11,6,5,2,11,3,3,10,10,2,6,5,18,3,4
ENSG00000264660.2,2,1,1,3,52,0,3,0,1,5,0,0,4,0,6,7,0
ENSG00000264661.3,2,0,0,1,0,0,0,1,0,7,2,0,1,1,0,0,0
ENSG00000264662.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264663.1,9,18,16,2,156,12,5,11,3,8,7,13,8,12,17,10,2
ENSG00000264666.1,0,1,0,0,0,0,0,0,2,1,1,0,2,0,0,0,1
ENSG00000264668.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264672.6,13,17,12,16,11,18,16,43,12,28,18,8,3,11,19,34,11
ENSG00000264673.1,0,1,0,3,6,14,16,1,1,6,14,0,19,0,7,10,2
ENSG00000264675.1,2,0,0,0,1,3,1,3,0,1,2,3,1,1,0,1,0
ENSG00000264676.2,18,12,11,10,8,7,6,13,4,4,11,11,2,9,13,12,15
ENSG00000264678.1,44,45,64,42,75,55,51,76,6,74,56,22,32,63,70,31,29
ENSG00000264684.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264685.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264689.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264693.1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1
ENSG00000264695.1,0,1,0,2,5,1,0,0,0,1,1,1,1,2,1,0,1
