,C3L-01637-02,C3L-03743-01,C3N-00302-02,C3N-01167-01,C3N-02754-01-3,C3N-02998-03,C3L-03348-03,C3L-03348-03-2,C3N-03000-02
ENSG00000014216.16,6790,8227,3330,4951,3126,3474,4360,3719,4018
ENSG00000014257.16,397,149,163,344,450,232,299,201,132
ENSG00000014641.21,5058,4353,2988,5013,2960,4365,5267,3756,3675
ENSG00000014824.14,5566,5673,3544,6452,3407,4118,4838,2987,3622
ENSG00000014914.21,7049,1879,1682,20480,1439,4778,1644,1151,1230
ENSG00000014919.13,1894,1524,1288,2192,989,1383,1489,991,1221
ENSG00000015133.19,1525,831,974,2424,1200,2539,1404,1257,642
ENSG00000015153.15,1207,1605,1278,1447,1172,1565,1619,1075,1086
ENSG00000015171.20,5917,3852,2380,7267,4152,4427,6123,3965,3908
ENSG00000015285.11,283,161,216,229,229,662,321,246,213
ENSG00000015413.9,1923,1580,133,1934,2693,288,1294,976,171
ENSG00000015475.19,2431,859,890,1291,919,1186,1027,819,923
ENSG00000015479.20,1355,1462,1921,1347,992,1346,1582,1014,1282
ENSG00000015520.15,1067,154,207,326,520,168,960,543,42
ENSG00000015532.10,1407,1114,1425,1477,985,860,1478,1388,1196
ENSG00000015568.13,2,8,17,6,30,4,22,30,6
ENSG00000015592.16,1,3,4,0,3,3,5,4,1
ENSG00000015676.18,4953,3483,2655,8735,3123,3263,4721,3731,3525
ENSG00000016082.15,290,375,152,347,427,299,756,446,247
ENSG00000016391.11,3004,326,563,2455,1204,1365,1650,1137,516
ENSG00000016402.13,979,301,882,927,620,629,1205,645,1005
ENSG00000016490.16,25,1010,8,10567,5,6,4,3,3
ENSG00000016602.9,22,21,93,20,6,13,2,0,109
ENSG00000016864.18,2760,1860,2053,2529,1856,1886,2318,1995,2553
ENSG00000017260.20,9940,10379,10062,8545,4562,6344,9016,6175,7255
ENSG00000017427.17,132,141,155,97,195,759,252,120,124
ENSG00000017483.15,1464,307,1261,2414,323,574,421,304,1105
ENSG00000017797.13,3366,4838,2868,4935,2167,4662,3998,2948,3767
ENSG00000018189.13,3719,5116,3185,4125,5018,4712,5928,3865,4772
ENSG00000018236.15,2111,2790,1642,1818,3912,558,5005,3601,3886
ENSG00000018280.17,4546,1069,2021,1126,514,615,779,1072,1938
ENSG00000018408.15,2692,6005,14016,2857,3149,3245,5765,4384,4591
ENSG00000018510.17,5300,5943,4347,5260,2947,4032,6566,4475,5658
ENSG00000018607.7,3,3,6,2,5,1,5,3,6
ENSG00000018610.15,955,1077,786,1898,774,936,1017,641,859
ENSG00000018625.15,23,45,276,29,51,996,117,109,5
ENSG00000018699.13,1283,584,1092,1340,779,1450,1122,788,1070
ENSG00000018869.17,77,114,70,183,164,131,181,135,96
ENSG00000019102.12,5131,3388,64,2517,610,1049,1770,1029,151
ENSG00000019144.19,4391,9127,4249,5391,8144,5138,10718,9342,5165
ENSG00000019169.10,6291,211,461,672,32,252,47,51,700
ENSG00000019186.10,61,42,501,10,124,5,10,2,3887
ENSG00000019485.13,447,596,647,685,693,521,1009,643,656
ENSG00000019505.8,7502,1749,2696,4698,2624,2267,1516,794,651
ENSG00000019549.13,1046,1851,1214,450,1568,822,1867,1756,2381
ENSG00000019582.15,56419,22535,20596,37796,25329,65535,42394,28481,22216
ENSG00000019991.18,1263,1847,819,2266,1987,1848,2535,1833,1015
ENSG00000019995.6,1109,1373,1063,1511,1081,1171,1459,1131,1431
ENSG00000020129.16,638,763,701,874,608,734,893,680,561
ENSG00000020181.18,1661,2454,2238,2480,3046,1490,4673,2922,1423
ENSG00000020219.9,0,0,3,4,3,1,4,7,1
ENSG00000020256.20,924,724,949,1353,464,662,688,526,783
ENSG00000020426.11,809,665,803,777,558,792,1029,640,1050
ENSG00000020577.14,1549,2631,1618,1577,1536,2016,1249,1226,3444
ENSG00000020633.19,203,131,173,396,272,997,463,404,252
ENSG00000020922.13,2197,2305,2131,2509,1585,2348,2808,1823,2495
ENSG00000021300.14,1395,267,595,2568,516,631,935,450,155
ENSG00000021355.13,6276,7695,5671,6634,3669,12723,4580,2928,3093
ENSG00000021461.17,8,18,6,4,2,9,5,5,8
