,C3L-00928-03,C3L-01032-01,C3L-01598-02,C3L-01971-02,C3L-04853-01,C3N-00302-02,C3N-01167-01,C3N-02696-02-2,C3N-03000-02,C3N-03853-02,C3N-04282-01,C3L-02606-02,C3L-03639-03,C3L-03743-01,C3N-02696-02,C3N-04284-01
ENSG00000188026.13,346,776,512,369,299,427,494,416,409,223,386,484,263,329,568,264
ENSG00000188029.8,0,1,5,0,4,0,10,0,3,0,1,1,0,8,1,0
ENSG00000188032.10,6,39,17,20,14,18,38,42,24,9,14,15,16,26,56,42
ENSG00000188033.10,221,305,253,244,276,382,464,776,393,300,359,171,239,291,652,281
ENSG00000188037.12,26,26,11,59,57,41,41,14,6,24,31,11,6,7,48,2
ENSG00000188038.8,0,0,0,0,0,0,3,0,0,1,0,0,1,0,1,0
ENSG00000188039.16,104,53,77,273,384,194,204,301,52,131,72,20,76,119,292,261
ENSG00000188042.8,7229,4555,5620,3107,4190,4034,2083,2549,7157,3295,7812,6839,3791,4975,4645,678
ENSG00000188050.3,53,63,50,89,78,77,128,105,67,81,154,29,96,40,106,171
ENSG00000188051.7,5,18,10,9,6,15,19,26,14,8,6,4,3,12,29,19
ENSG00000188056.12,23,24,40,10,77,41,6,49,20,15,31,27,54,21,43,4
ENSG00000188060.7,191,218,298,106,232,249,363,172,208,166,306,148,155,163,235,105
ENSG00000188064.10,114,215,121,95,107,341,34,42,287,211,151,656,812,134,161,10
ENSG00000188070.9,503,795,839,893,668,849,1198,1064,977,446,1317,744,251,998,1550,609
ENSG00000188076.3,0,0,0,0,4,0,1,0,0,0,0,0,0,0,2,3
ENSG00000188078.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188086.15,4,2,0,0,1,3,1,10,0,1,1,3,0,0,7,1
ENSG00000188089.13,37,91,40,3,9,15,27,8,40,4,3,7,8,9,11,3
ENSG00000188092.15,212,202,280,290,315,252,910,536,243,281,210,244,485,308,444,389
ENSG00000188095.6,21,14,13,11,14,36,53,23,9,5,64,6,15,17,27,6
ENSG00000188100.9,28,0,0,0,0,0,0,0,1,0,1,5,1,1,1,0
ENSG00000188101.5,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0
ENSG00000188107.15,80,127,79,140,123,143,149,274,71,179,113,52,136,138,252,160
ENSG00000188112.9,535,1333,507,502,861,1391,1280,1504,922,401,590,677,579,1282,5064,770
ENSG00000188120.14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188124.3,17,10,20,34,30,34,17,57,12,12,6,45,8,5,31,9
ENSG00000188130.14,323,409,384,231,333,154,205,259,273,166,496,566,395,262,382,113
ENSG00000188133.6,3,5,4,6,22,9,8,21,8,17,28,11,7,17,14,0
ENSG00000188152.13,65,193,34,75,62,70,185,233,65,37,59,70,84,73,153,86
ENSG00000188153.14,1106,1238,1385,1157,1569,1393,1034,1439,3128,1431,2715,5886,8145,2946,1579,469
ENSG00000188155.11,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
ENSG00000188157.15,3378,11926,7558,4898,6017,4981,10542,3850,5113,4129,5650,9441,8600,8112,7607,1758
ENSG00000188158.16,1323,1205,2327,1638,658,4517,4357,947,1852,1569,1683,1755,847,1622,1236,278
ENSG00000188162.12,5,3,21,0,5,14,12,7,4,5,4,2,1,12,3,2
ENSG00000188163.8,4,6,2,7,6,11,12,18,4,2,3,5,3,2,12,6
ENSG00000188167.9,430,636,489,594,438,522,618,784,545,511,459,493,679,552,784,530
ENSG00000188171.16,148,206,770,414,368,458,270,792,359,156,240,77,136,499,811,364
ENSG00000188175.10,128,14,191,3049,86,123,3343,448,5,160,51,27,69,177,522,1796
ENSG00000188176.12,8,18,20,5,10,12,39,11,5,14,5,22,1,19,13,16
ENSG00000188177.14,1183,1318,1952,1598,2097,1365,2994,2583,1642,1285,2058,998,2391,1499,2620,1334
ENSG00000188185.13,225,252,209,138,125,158,456,400,195,124,139,188,244,158,333,116
ENSG00000188186.10,1300,935,1320,1381,1304,839,3135,1415,1552,885,1929,1355,1451,1407,1814,833
ENSG00000188191.15,307,280,762,450,189,185,1187,230,318,129,246,172,1045,335,482,197
ENSG00000188199.10,53,85,39,105,79,57,97,105,13,23,28,56,15,130,96,25
ENSG00000188211.9,1192,296,373,933,376,543,2693,679,276,207,181,533,678,764,974,612
ENSG00000188215.10,1954,1080,1976,1826,1786,837,1739,1383,1105,1167,1477,2032,1664,1661,1822,740
ENSG00000188219.14,2,2,63,94,2,10,24,2,560,75,3,295,1,14,13,1
ENSG00000188223.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188227.13,230,331,300,391,270,1479,813,805,491,415,267,362,502,257,718,244
ENSG00000188229.6,3003,3400,2807,6135,3590,3931,11402,1814,3243,1613,3672,2188,5892,6003,3668,3246
ENSG00000188234.13,174,232,192,170,174,185,370,342,267,228,253,179,237,235,334,185
ENSG00000188242.4,9,26,18,4,16,18,21,19,15,8,7,24,13,13,13,5
ENSG00000188243.13,1483,557,1945,1507,1457,1754,2427,1623,2543,1286,1945,1291,1949,2158,1655,990
ENSG00000188257.12,76,1,11,305,25,23,2463,49,1,16,1,19,4,51,34,64
ENSG00000188263.10,66,9,10,27,5,3,36,8,23,12,4,61,4,22,10,3
ENSG00000188266.14,170,145,172,122,145,231,291,286,180,186,297,111,54,166,257,217
ENSG00000188269.10,0,6,0,0,0,3,0,1,1,2,1,0,0,0,4,2
ENSG00000188277.10,124,299,136,94,211,139,197,206,132,76,225,167,91,134,163,79
ENSG00000188280.11,3,0,2,14,3,0,0,7,0,1,0,1,0,1,2,2
ENSG00000188282.12,34,72,21,20,13,76,67,19,40,20,79,18,57,7,10,5
ENSG00000188283.11,285,386,383,427,492,780,670,908,715,396,738,413,468,681,886,407
ENSG00000188290.11,412,311,352,343,237,249,552,57,238,87,232,775,289,196,392,79
ENSG00000188293.6,15,16,4,0,0,3,15,1,1214,4,4,515,0,11,5,0
ENSG00000188295.15,246,136,179,242,388,192,767,256,279,222,313,193,409,308,313,188
ENSG00000188305.6,20,56,27,23,56,21,32,76,19,14,14,37,18,23,90,16
ENSG00000188306.6,9,4,53,45,16,25,54,12,16,20,10,9,4,15,29,39
ENSG00000188312.14,255,360,264,254,217,448,566,382,386,175,235,330,199,304,386,237
ENSG00000188313.13,5745,2605,3891,4881,6294,9028,13178,6593,2854,4981,4329,4477,6439,4878,7112,2760
ENSG00000188314.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188315.8,83,209,111,164,181,202,298,379,180,90,206,125,80,103,271,174
ENSG00000188316.15,30,31,80,50,49,52,62,128,54,59,51,24,47,54,85,71
ENSG00000188321.13,555,413,729,800,778,1405,1163,1373,1223,954,1069,486,366,655,1506,670
ENSG00000188322.8,12,69,12,44,58,107,64,173,38,99,75,19,29,5,150,45
ENSG00000188324.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
